time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-15 00:00:00+00:00,0,0,3,1
2024-11-18 00:00:00+00:00,0,0,1,1
2024-11-19 00:00:00+00:00,0,0,10,3
2024-11-21 00:00:00+00:00,0,0,14,2
2024-11-25 00:00:00+00:00,0,0,2,2
2024-11-26 00:00:00+00:00,0,0,14,5
2024-11-27 00:00:00+00:00,5,5,53,3
2024-11-28 00:00:00+00:00,0,0,2,1
2024-11-30 00:00:00+00:00,0,0,1,1
2024-12-01 00:00:00+00:00,0,0,18,1
2024-12-03 00:00:00+00:00,0,0,1,1
2024-12-05 00:00:00+00:00,0,0,6,1
2024-12-06 00:00:00+00:00,0,0,1,1
2024-12-10 00:00:00+00:00,0,0,1,1
2024-12-12 00:00:00+00:00,0,0,4,2
2024-12-13 00:00:00+00:00,0,0,4,2
