time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-15 00:00:00+00:00,0,0,1,1
2024-11-17 00:00:00+00:00,1,1,1,1
2024-11-18 00:00:00+00:00,0,0,17,2
2024-11-20 00:00:00+00:00,0,0,6,2
2024-11-21 00:00:00+00:00,0,0,1,1
2024-12-03 00:00:00+00:00,0,0,1,1
2024-12-17 00:00:00+00:00,0,0,1,1
2024-12-18 00:00:00+00:00,0,0,12,2
2024-12-19 00:00:00+00:00,0,0,1,1
2024-12-22 00:00:00+00:00,1,1,0,0
2024-12-24 00:00:00+00:00,0,0,2,1
2025-01-11 00:00:00+00:00,1,1,0,0
2025-01-23 00:00:00+00:00,0,0,2,1
2025-01-31 00:00:00+00:00,0,0,1,1
2025-02-03 00:00:00+00:00,1,1,5,1
2025-02-11 00:00:00+00:00,1,1,1,1
2025-02-14 00:00:00+00:00,0,0,1,1
2025-02-17 00:00:00+00:00,0,0,1,1
2025-02-18 00:00:00+00:00,0,0,3,1
2025-02-19 00:00:00+00:00,0,0,1,1
2025-02-20 00:00:00+00:00,1,1,0,0
2025-02-22 00:00:00+00:00,1,1,0,0
2025-02-23 00:00:00+00:00,0,0,1,1
2025-02-24 00:00:00+00:00,0,0,1,1
2025-02-25 00:00:00+00:00,0,0,2,2
2025-02-28 00:00:00+00:00,0,0,1,1
2025-03-02 00:00:00+00:00,1,1,0,0
2025-03-04 00:00:00+00:00,1,1,0,0
2025-03-09 00:00:00+00:00,2,2,0,0
2025-03-11 00:00:00+00:00,0,0,1,1
2025-03-13 00:00:00+00:00,0,0,2,2
2025-03-15 00:00:00+00:00,0,0,2,2
2025-03-18 00:00:00+00:00,0,0,1,1
2025-03-20 00:00:00+00:00,1,1,0,0
2025-03-21 00:00:00+00:00,0,0,1,1
2025-03-23 00:00:00+00:00,0,0,1,1
2025-03-24 00:00:00+00:00,1,1,0,0
2025-03-27 00:00:00+00:00,1,1,0,0
2025-03-28 00:00:00+00:00,1,1,0,0
2025-04-05 00:00:00+00:00,1,1,0,0
2025-04-07 00:00:00+00:00,0,0,3,1
2025-04-11 00:00:00+00:00,0,0,1,1
2025-04-22 00:00:00+00:00,1,1,0,0
2025-04-23 00:00:00+00:00,0,0,1,1
2025-04-24 00:00:00+00:00,0,0,1,1
2025-04-25 00:00:00+00:00,0,0,1,1
2025-04-29 00:00:00+00:00,0,0,2,1
2025-04-30 00:00:00+00:00,1,1,0,0
2025-05-01 00:00:00+00:00,0,0,1,1
2025-05-05 00:00:00+00:00,0,0,1,1
2025-05-06 00:00:00+00:00,0,0,4,1
2025-05-09 00:00:00+00:00,0,0,1,1
2025-05-12 00:00:00+00:00,0,0,1,1
2025-05-15 00:00:00+00:00,0,0,1,1
2025-05-16 00:00:00+00:00,0,0,1,1
2025-05-17 00:00:00+00:00,0,0,2,1
2025-05-19 00:00:00+00:00,0,0,1,1
2025-05-28 00:00:00+00:00,0,0,1,1
2025-06-01 00:00:00+00:00,1,1,1,1
2025-06-02 00:00:00+00:00,1,1,0,0
2025-06-05 00:00:00+00:00,0,0,2,1
2025-06-06 00:00:00+00:00,1,1,0,0
2025-06-08 00:00:00+00:00,0,0,1,1
2025-06-12 00:00:00+00:00,0,0,1,1
2025-06-13 00:00:00+00:00,0,0,2,1
2025-06-18 00:00:00+00:00,1,1,1,1
2025-06-19 00:00:00+00:00,0,0,9,1
2025-06-28 00:00:00+00:00,1,1,0,0
2025-06-30 00:00:00+00:00,1,1,0,0
2025-07-01 00:00:00+00:00,1,1,0,0
2025-07-03 00:00:00+00:00,1,1,0,0
2025-07-04 00:00:00+00:00,2,2,0,0
2025-07-05 00:00:00+00:00,1,1,0,0
2025-07-07 00:00:00+00:00,1,1,1,1
2025-07-08 00:00:00+00:00,0,0,1,1
2025-07-10 00:00:00+00:00,1,1,0,0
2025-07-11 00:00:00+00:00,1,1,0,0
2025-07-15 00:00:00+00:00,1,1,0,0
2025-07-28 00:00:00+00:00,0,0,1,1
2025-07-30 00:00:00+00:00,1,1,0,0
2025-08-05 00:00:00+00:00,0,0,4,1
2025-08-06 00:00:00+00:00,0,0,1,1
2025-08-07 00:00:00+00:00,0,0,3,1
2025-08-12 00:00:00+00:00,1,1,0,0
2025-08-16 00:00:00+00:00,1,1,0,0
2025-08-21 00:00:00+00:00,1,1,0,0
2025-08-22 00:00:00+00:00,0,0,4,1
2025-08-27 00:00:00+00:00,1,1,0,0
