url_path,views_total,views_unique
/cicsdev/blog-cics-java-jta-jdbc,16,3
/cicsdev/blog-cics-java-jta-jdbc/blob/main/blog.md,10,2
/cicsdev/blog-cics-java-jta-jdbc/pull/3,8,2
/cicsdev/blog-cics-java-jta-jdbc/pulls,8,2
/cicsdev/blog-cics-java-jta-jdbc/pull/4,7,3
/cicsdev/blog-cics-java-jta-jdbc/pull/3/files,4,2
/cicsdev/blog-cics-java-jta-jdbc/pull/4/files,3,2
/cicsdev/blog-cics-java-jta-jdbc/blob/main/MAINTAINERS.md,1,1
/cicsdev/blog-cics-java-jta-jdbc/blob/main/README.md,1,1
/cicsdev/blog-cics-java-jta-jdbc/commit/ea721922f5269dac0655ce02da669b02b9880a93,1,1
