time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-17 00:00:00+00:00,1,1,0,0
2024-11-18 00:00:00+00:00,0,0,7,1
2024-11-19 00:00:00+00:00,1,1,0,0
2024-11-20 00:00:00+00:00,0,0,4,2
2024-11-21 00:00:00+00:00,0,0,1,1
2024-12-10 00:00:00+00:00,0,0,1,1
2024-12-18 00:00:00+00:00,1,1,6,1
2024-12-19 00:00:00+00:00,0,0,3,1
2024-12-22 00:00:00+00:00,1,1,0,0
2024-12-25 00:00:00+00:00,0,0,1,1
2024-12-26 00:00:00+00:00,0,0,3,1
2025-01-07 00:00:00+00:00,0,0,2,1
2025-01-14 00:00:00+00:00,0,0,1,1
2025-01-23 00:00:00+00:00,0,0,3,1
2025-01-25 00:00:00+00:00,1,1,0,0
2025-02-04 00:00:00+00:00,1,1,0,0
2025-02-11 00:00:00+00:00,1,1,2,1
2025-02-12 00:00:00+00:00,0,0,2,1
2025-02-17 00:00:00+00:00,0,0,1,1
2025-03-02 00:00:00+00:00,2,2,0,0
2025-03-05 00:00:00+00:00,1,1,0,0
2025-03-06 00:00:00+00:00,2,2,0,0
2025-03-08 00:00:00+00:00,1,1,0,0
2025-03-11 00:00:00+00:00,1,1,0,0
2025-03-19 00:00:00+00:00,1,1,0,0
2025-03-28 00:00:00+00:00,1,1,0,0
2025-04-01 00:00:00+00:00,0,0,1,1
2025-04-03 00:00:00+00:00,0,0,4,2
2025-04-05 00:00:00+00:00,1,1,0,0
2025-04-07 00:00:00+00:00,0,0,1,1
2025-04-09 00:00:00+00:00,0,0,1,1
2025-04-10 00:00:00+00:00,0,0,1,1
2025-04-18 00:00:00+00:00,0,0,2,1
2025-04-20 00:00:00+00:00,0,0,1,1
2025-04-29 00:00:00+00:00,0,0,2,2
2025-04-30 00:00:00+00:00,1,1,0,0
2025-05-07 00:00:00+00:00,0,0,1,1
2025-05-12 00:00:00+00:00,0,0,1,1
2025-05-14 00:00:00+00:00,0,0,2,1
2025-05-22 00:00:00+00:00,0,0,3,1
2025-05-23 00:00:00+00:00,0,0,1,1
2025-06-02 00:00:00+00:00,0,0,1,1
2025-06-04 00:00:00+00:00,0,0,1,1
2025-06-05 00:00:00+00:00,1,1,0,0
2025-06-06 00:00:00+00:00,2,2,0,0
2025-06-16 00:00:00+00:00,0,0,1,1
2025-06-18 00:00:00+00:00,0,0,1,1
2025-06-22 00:00:00+00:00,1,1,0,0
2025-06-23 00:00:00+00:00,0,0,1,1
2025-06-28 00:00:00+00:00,1,1,0,0
2025-07-01 00:00:00+00:00,1,1,0,0
2025-07-03 00:00:00+00:00,1,1,0,0
2025-07-04 00:00:00+00:00,2,2,0,0
2025-07-05 00:00:00+00:00,2,2,0,0
2025-07-10 00:00:00+00:00,1,1,0,0
2025-07-11 00:00:00+00:00,1,1,0,0
2025-07-15 00:00:00+00:00,1,1,0,0
2025-07-16 00:00:00+00:00,0,0,1,1
2025-07-17 00:00:00+00:00,0,0,1,1
2025-07-30 00:00:00+00:00,1,1,1,1
2025-08-06 00:00:00+00:00,0,0,1,1
2025-08-12 00:00:00+00:00,1,1,0,0
