time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-05 00:00:00+00:00,0,0,7,1
2023-12-16 00:00:00+00:00,1,1,0,0
2023-12-29 00:00:00+00:00,2,1,0,0
2024-01-13 00:00:00+00:00,1,1,10,1
2024-01-14 00:00:00+00:00,0,0,6,1
2024-01-18 00:00:00+00:00,0,0,2,1
2024-01-19 00:00:00+00:00,0,0,2,1
2024-01-27 00:00:00+00:00,0,0,1,1
2024-01-29 00:00:00+00:00,0,0,26,2
2024-02-08 00:00:00+00:00,0,0,2,1
2024-02-09 00:00:00+00:00,0,0,2,1
2024-02-22 00:00:00+00:00,0,0,1,1
2024-03-03 00:00:00+00:00,1,1,0,0
2024-03-05 00:00:00+00:00,0,0,2,1
2024-03-13 00:00:00+00:00,0,0,2,1
2024-03-21 00:00:00+00:00,0,0,2,1
2024-03-25 00:00:00+00:00,1,1,0,0
2024-03-28 00:00:00+00:00,0,0,2,1
2024-04-12 00:00:00+00:00,0,0,2,1
2024-04-15 00:00:00+00:00,0,0,2,1
2024-05-08 00:00:00+00:00,0,0,2,1
2024-05-09 00:00:00+00:00,1,1,0,0
2024-05-14 00:00:00+00:00,0,0,2,1
2024-05-16 00:00:00+00:00,0,0,2,1
2024-06-05 00:00:00+00:00,0,0,4,1
2024-06-09 00:00:00+00:00,1,1,0,0
2024-06-10 00:00:00+00:00,1,1,0,0
2024-06-19 00:00:00+00:00,0,0,2,1
2024-06-21 00:00:00+00:00,0,0,2,1
2024-06-28 00:00:00+00:00,0,0,9,1
2024-07-01 00:00:00+00:00,0,0,3,2
2024-07-10 00:00:00+00:00,0,0,1,1
2024-07-17 00:00:00+00:00,0,0,2,1
2024-07-22 00:00:00+00:00,0,0,3,2
2024-07-24 00:00:00+00:00,0,0,1,1
2024-07-26 00:00:00+00:00,2,1,0,0
2024-07-28 00:00:00+00:00,1,1,0,0
2024-07-31 00:00:00+00:00,0,0,2,1
2024-08-02 00:00:00+00:00,4,1,0,0
2024-08-03 00:00:00+00:00,1,1,0,0
2024-08-04 00:00:00+00:00,1,1,0,0
2024-08-05 00:00:00+00:00,1,1,0,0
2024-08-09 00:00:00+00:00,1,1,0,0
2024-08-10 00:00:00+00:00,1,1,3,1
2024-08-11 00:00:00+00:00,1,1,2,1
2024-08-12 00:00:00+00:00,1,1,2,1
2024-08-13 00:00:00+00:00,1,1,0,0
2024-08-17 00:00:00+00:00,1,1,0,0
2024-08-18 00:00:00+00:00,1,1,0,0
2024-08-20 00:00:00+00:00,1,1,0,0
2024-08-21 00:00:00+00:00,1,1,0,0
2024-08-22 00:00:00+00:00,0,0,2,1
2024-08-23 00:00:00+00:00,1,1,0,0
2024-08-24 00:00:00+00:00,1,1,0,0
2024-08-25 00:00:00+00:00,1,1,0,0
2024-08-26 00:00:00+00:00,0,0,2,1
2024-08-27 00:00:00+00:00,1,1,0,0
2024-08-28 00:00:00+00:00,1,1,0,0
2024-08-30 00:00:00+00:00,0,0,8,1
2024-08-31 00:00:00+00:00,1,1,0,0
2024-09-01 00:00:00+00:00,0,0,3,1
2024-09-02 00:00:00+00:00,0,0,2,1
2024-09-04 00:00:00+00:00,1,1,0,0
2024-09-05 00:00:00+00:00,1,1,0,0
2024-09-07 00:00:00+00:00,1,1,0,0
2024-09-08 00:00:00+00:00,1,1,0,0
2024-09-10 00:00:00+00:00,1,1,0,0
2024-09-12 00:00:00+00:00,0,0,5,1
2024-10-14 00:00:00+00:00,0,0,1,1
