url_path,views_total,views_unique
/cicsdev/blog-cics-java-mq-jms-osgi,21,3
/cicsdev/blog-cics-java-mq-jms-osgi/blob/main/blog.md,15,2
/cicsdev/blog-cics-java-mq-jms-osgi/pull/3,5,2
/cicsdev/blog-cics-java-mq-jms-osgi/issues,4,3
/cicsdev/blog-cics-java-mq-jms-osgi/issues/1,3,2
/cicsdev/blog-cics-java-mq-jms-osgi/blob/main/MAINTAINERS.md,2,1
/cicsdev/blog-cics-java-mq-jms-osgi/compare/main...jt-nti:add-readme,2,1
/cicsdev/blog-cics-java-mq-jms-osgi/fork,2,1
/cicsdev/blog-cics-java-mq-jms-osgi/pull/2,2,1
/cicsdev/blog-cics-java-mq-jms-osgi/blob/main/README.md,1,1
