time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-18 00:00:00+00:00,0,0,10,2
2024-11-20 00:00:00+00:00,1,1,6,1
2024-11-21 00:00:00+00:00,0,0,1,1
2024-11-25 00:00:00+00:00,1,1,0,0
2024-11-28 00:00:00+00:00,0,0,3,1
2024-11-30 00:00:00+00:00,0,0,2,1
2024-12-03 00:00:00+00:00,0,0,3,1
2024-12-17 00:00:00+00:00,0,0,3,1
2024-12-18 00:00:00+00:00,0,0,3,2
2024-12-19 00:00:00+00:00,0,0,3,2
2024-12-20 00:00:00+00:00,0,0,1,1
2024-12-21 00:00:00+00:00,0,0,1,1
2024-12-24 00:00:00+00:00,0,0,1,1
2024-12-26 00:00:00+00:00,0,0,1,1
2024-12-27 00:00:00+00:00,0,0,2,2
2025-01-02 00:00:00+00:00,0,0,1,1
2025-01-07 00:00:00+00:00,0,0,1,1
2025-01-15 00:00:00+00:00,0,0,1,1
2025-01-17 00:00:00+00:00,0,0,3,2
2025-01-20 00:00:00+00:00,0,0,1,1
2025-01-22 00:00:00+00:00,0,0,1,1
2025-01-23 00:00:00+00:00,0,0,2,1
2025-01-24 00:00:00+00:00,0,0,2,2
2025-01-28 00:00:00+00:00,0,0,1,1
2025-02-03 00:00:00+00:00,0,0,1,1
2025-02-04 00:00:00+00:00,1,1,0,0
2025-02-06 00:00:00+00:00,0,0,1,1
2025-02-11 00:00:00+00:00,1,1,0,0
2025-02-12 00:00:00+00:00,0,0,2,2
2025-02-16 00:00:00+00:00,0,0,1,1
2025-02-22 00:00:00+00:00,1,1,0,0
2025-02-25 00:00:00+00:00,0,0,2,1
2025-03-05 00:00:00+00:00,1,1,0,0
2025-03-10 00:00:00+00:00,0,0,1,1
2025-03-11 00:00:00+00:00,1,1,10,3
2025-03-12 00:00:00+00:00,0,0,1,1
2025-03-17 00:00:00+00:00,0,0,1,1
2025-03-18 00:00:00+00:00,0,0,5,4
2025-03-20 00:00:00+00:00,1,1,0,0
2025-03-21 00:00:00+00:00,0,0,3,1
2025-03-25 00:00:00+00:00,1,1,0,0
2025-03-26 00:00:00+00:00,3,3,0,0
2025-03-28 00:00:00+00:00,1,1,0,0
2025-03-29 00:00:00+00:00,1,1,0,0
2025-04-07 00:00:00+00:00,0,0,2,1
2025-04-10 00:00:00+00:00,0,0,1,1
2025-04-11 00:00:00+00:00,0,0,1,1
2025-04-13 00:00:00+00:00,0,0,1,1
2025-04-15 00:00:00+00:00,0,0,2,1
2025-04-23 00:00:00+00:00,0,0,1,1
2025-04-24 00:00:00+00:00,0,0,2,2
2025-04-25 00:00:00+00:00,0,0,3,1
2025-04-28 00:00:00+00:00,1,1,0,0
2025-04-30 00:00:00+00:00,0,0,1,1
2025-05-01 00:00:00+00:00,1,1,0,0
2025-05-03 00:00:00+00:00,2,2,2,1
2025-05-06 00:00:00+00:00,0,0,2,1
2025-05-07 00:00:00+00:00,0,0,1,1
2025-05-08 00:00:00+00:00,0,0,1,1
2025-05-09 00:00:00+00:00,0,0,1,1
2025-05-13 00:00:00+00:00,0,0,1,1
2025-05-16 00:00:00+00:00,0,0,1,1
2025-05-19 00:00:00+00:00,0,0,2,1
2025-05-20 00:00:00+00:00,0,0,1,1
2025-05-22 00:00:00+00:00,0,0,4,3
2025-05-28 00:00:00+00:00,0,0,2,1
2025-05-29 00:00:00+00:00,0,0,1,1
2025-06-06 00:00:00+00:00,1,1,0,0
2025-06-07 00:00:00+00:00,1,1,0,0
2025-06-09 00:00:00+00:00,0,0,1,1
2025-06-10 00:00:00+00:00,0,0,2,2
2025-06-11 00:00:00+00:00,0,0,1,1
2025-06-12 00:00:00+00:00,0,0,2,2
2025-06-18 00:00:00+00:00,0,0,2,1
2025-06-26 00:00:00+00:00,0,0,1,1
2025-06-28 00:00:00+00:00,1,1,0,0
2025-07-01 00:00:00+00:00,1,1,0,0
2025-07-03 00:00:00+00:00,1,1,0,0
2025-07-04 00:00:00+00:00,2,2,0,0
2025-07-05 00:00:00+00:00,2,2,0,0
2025-07-10 00:00:00+00:00,1,1,1,1
2025-07-11 00:00:00+00:00,1,1,0,0
2025-07-15 00:00:00+00:00,1,1,0,0
2025-07-16 00:00:00+00:00,0,0,1,1
2025-07-18 00:00:00+00:00,1,1,0,0
2025-07-20 00:00:00+00:00,1,1,0,0
2025-07-21 00:00:00+00:00,0,0,1,1
2025-07-25 00:00:00+00:00,0,0,2,2
2025-07-28 00:00:00+00:00,0,0,1,1
2025-07-29 00:00:00+00:00,0,0,1,1
2025-07-30 00:00:00+00:00,1,1,0,0
2025-08-06 00:00:00+00:00,0,0,1,1
2025-08-10 00:00:00+00:00,1,1,0,0
2025-08-12 00:00:00+00:00,1,1,0,0
2025-08-13 00:00:00+00:00,1,1,0,0
2025-08-14 00:00:00+00:00,1,1,0,0
2025-08-16 00:00:00+00:00,1,1,0,0
2025-08-21 00:00:00+00:00,1,1,0,0
2025-09-07 00:00:00+00:00,3,3,0,0
