time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-18 00:00:00+00:00,0,0,5,1
2024-11-20 00:00:00+00:00,0,0,2,1
2024-11-28 00:00:00+00:00,0,0,2,1
2024-12-07 00:00:00+00:00,0,0,1,1
2024-12-16 00:00:00+00:00,0,0,3,2
2024-12-17 00:00:00+00:00,0,0,1,1
2024-12-18 00:00:00+00:00,0,0,9,2
2024-12-22 00:00:00+00:00,1,1,0,0
2024-12-24 00:00:00+00:00,0,0,1,1
2025-01-01 00:00:00+00:00,0,0,1,1
2025-01-07 00:00:00+00:00,0,0,2,1
2025-01-11 00:00:00+00:00,0,0,1,1
2025-01-13 00:00:00+00:00,0,0,2,1
2025-01-18 00:00:00+00:00,0,0,1,1
2025-01-23 00:00:00+00:00,0,0,2,1
2025-01-26 00:00:00+00:00,0,0,1,1
2025-01-27 00:00:00+00:00,0,0,1,1
