time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-17 00:00:00+00:00,1,1,0,0
2024-11-18 00:00:00+00:00,0,0,6,2
2024-11-19 00:00:00+00:00,1,1,0,0
2024-11-20 00:00:00+00:00,0,0,2,1
2024-12-13 00:00:00+00:00,1,1,0,0
2024-12-16 00:00:00+00:00,0,0,2,1
2024-12-18 00:00:00+00:00,0,0,7,1
2024-12-19 00:00:00+00:00,0,0,3,1
2024-12-22 00:00:00+00:00,1,1,0,0
2025-01-13 00:00:00+00:00,0,0,2,1
2025-01-23 00:00:00+00:00,0,0,2,1
2025-01-25 00:00:00+00:00,1,1,0,0
2025-01-30 00:00:00+00:00,0,0,1,1
2025-02-03 00:00:00+00:00,1,1,0,0
2025-02-11 00:00:00+00:00,1,1,0,0
2025-02-23 00:00:00+00:00,0,0,1,1
2025-03-07 00:00:00+00:00,2,2,0,0
2025-03-10 00:00:00+00:00,1,1,0,0
2025-03-21 00:00:00+00:00,1,1,0,0
2025-03-23 00:00:00+00:00,1,1,0,0
2025-03-30 00:00:00+00:00,1,1,0,0
2025-03-31 00:00:00+00:00,3,3,0,0
2025-04-01 00:00:00+00:00,3,3,0,0
2025-04-20 00:00:00+00:00,1,1,0,0
2025-04-21 00:00:00+00:00,1,1,0,0
2025-04-28 00:00:00+00:00,1,1,0,0
2025-05-01 00:00:00+00:00,1,1,0,0
2025-05-03 00:00:00+00:00,1,1,0,0
2025-05-27 00:00:00+00:00,1,1,0,0
2025-06-05 00:00:00+00:00,0,0,1,1
2025-06-06 00:00:00+00:00,1,1,0,0
2025-06-27 00:00:00+00:00,0,0,1,1
2025-06-28 00:00:00+00:00,1,1,0,0
2025-06-30 00:00:00+00:00,1,1,0,0
2025-07-01 00:00:00+00:00,1,1,0,0
2025-07-03 00:00:00+00:00,1,1,0,0
2025-07-04 00:00:00+00:00,2,2,0,0
2025-07-05 00:00:00+00:00,1,1,0,0
2025-07-10 00:00:00+00:00,1,1,0,0
2025-07-11 00:00:00+00:00,1,1,0,0
2025-07-15 00:00:00+00:00,1,1,0,0
2025-07-17 00:00:00+00:00,0,0,1,1
2025-07-30 00:00:00+00:00,1,1,1,1
2025-08-05 00:00:00+00:00,0,0,2,1
2025-08-16 00:00:00+00:00,1,1,1,1
2025-08-21 00:00:00+00:00,1,1,0,0
2025-09-01 00:00:00+00:00,1,1,0,0
2025-09-03 00:00:00+00:00,0,0,2,1
