time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-05 00:00:00+00:00,0,0,1,1
2023-12-06 00:00:00+00:00,1,1,0,0
2023-12-13 00:00:00+00:00,1,1,1,1
2023-12-15 00:00:00+00:00,0,0,1,1
2023-12-21 00:00:00+00:00,1,1,0,0
2023-12-29 00:00:00+00:00,3,2,0,0
2024-01-09 00:00:00+00:00,1,1,0,0
2024-01-11 00:00:00+00:00,1,1,0,0
2024-01-14 00:00:00+00:00,1,1,0,0
2024-01-16 00:00:00+00:00,0,0,1,1
2024-01-26 00:00:00+00:00,2,1,0,0
2024-01-29 00:00:00+00:00,2,1,0,0
2024-02-12 00:00:00+00:00,0,0,1,1
2024-03-02 00:00:00+00:00,2,2,0,0
2024-03-06 00:00:00+00:00,0,0,7,1
2024-03-28 00:00:00+00:00,1,1,0,0
2024-04-04 00:00:00+00:00,0,0,1,1
2024-04-09 00:00:00+00:00,0,0,1,1
2024-04-20 00:00:00+00:00,1,1,0,0
2024-04-25 00:00:00+00:00,0,0,1,1
2024-05-09 00:00:00+00:00,1,1,0,0
2024-05-31 00:00:00+00:00,0,0,3,1
2024-06-09 00:00:00+00:00,1,1,0,0
2024-06-10 00:00:00+00:00,0,0,1,1
2024-06-16 00:00:00+00:00,0,0,1,1
2024-06-26 00:00:00+00:00,0,0,1,1
2024-06-28 00:00:00+00:00,0,0,9,1
2024-07-01 00:00:00+00:00,0,0,5,1
2024-07-11 00:00:00+00:00,0,0,12,1
2024-07-12 00:00:00+00:00,1,1,0,0
2024-07-20 00:00:00+00:00,0,0,6,1
2024-07-22 00:00:00+00:00,0,0,2,2
2024-07-26 00:00:00+00:00,1,1,0,0
2024-07-31 00:00:00+00:00,0,0,17,1
2024-08-01 00:00:00+00:00,1,1,0,0
2024-08-02 00:00:00+00:00,2,1,0,0
2024-08-07 00:00:00+00:00,1,1,0,0
2024-08-08 00:00:00+00:00,1,1,0,0
2024-08-09 00:00:00+00:00,1,1,0,0
2024-08-10 00:00:00+00:00,1,1,0,0
2024-08-11 00:00:00+00:00,1,1,0,0
2024-08-12 00:00:00+00:00,1,1,0,0
2024-08-14 00:00:00+00:00,1,1,0,0
2024-08-16 00:00:00+00:00,1,1,0,0
2024-08-17 00:00:00+00:00,1,1,0,0
2024-08-18 00:00:00+00:00,1,1,0,0
2024-08-19 00:00:00+00:00,1,1,0,0
2024-08-20 00:00:00+00:00,1,1,0,0
2024-08-21 00:00:00+00:00,1,1,0,0
2024-08-24 00:00:00+00:00,1,1,0,0
2024-08-26 00:00:00+00:00,1,1,0,0
2024-08-27 00:00:00+00:00,1,1,0,0
2024-09-01 00:00:00+00:00,1,1,0,0
2024-09-04 00:00:00+00:00,1,1,5,1
2024-09-05 00:00:00+00:00,1,1,0,0
2024-09-06 00:00:00+00:00,1,1,0,0
2024-09-07 00:00:00+00:00,1,1,0,0
2024-09-08 00:00:00+00:00,1,1,0,0
2024-09-10 00:00:00+00:00,1,1,0,0
2024-09-17 00:00:00+00:00,0,0,1,1
2024-09-20 00:00:00+00:00,1,1,0,0
2024-10-01 00:00:00+00:00,0,0,1,1
2024-10-09 00:00:00+00:00,0,0,1,1
2024-10-23 00:00:00+00:00,1,1,0,0
