time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-18 00:00:00+00:00,1,1,0,0
2024-11-19 00:00:00+00:00,0,0,1,1
2024-11-25 00:00:00+00:00,0,0,1,1
2024-11-27 00:00:00+00:00,0,0,1,1
2024-12-02 00:00:00+00:00,2,1,25,1
2024-12-03 00:00:00+00:00,6,6,1,1
2024-12-04 00:00:00+00:00,0,0,5,2
2024-12-06 00:00:00+00:00,0,0,15,2
2024-12-07 00:00:00+00:00,0,0,1,1
2024-12-09 00:00:00+00:00,0,0,3,1
2024-12-10 00:00:00+00:00,1,1,0,0
2024-12-11 00:00:00+00:00,0,0,2,1
2024-12-18 00:00:00+00:00,0,0,2,1
2024-12-19 00:00:00+00:00,0,0,2,2
2024-12-20 00:00:00+00:00,0,0,1,1
2024-12-26 00:00:00+00:00,2,1,0,0
2025-01-05 00:00:00+00:00,1,1,0,0
2025-01-07 00:00:00+00:00,1,1,0,0
2025-01-08 00:00:00+00:00,3,1,0,0
2025-01-13 00:00:00+00:00,5,2,0,0
2025-01-14 00:00:00+00:00,0,0,1,1
2025-01-16 00:00:00+00:00,2,2,0,0
2025-01-21 00:00:00+00:00,0,0,1,1
2025-01-22 00:00:00+00:00,0,0,1,1
2025-01-23 00:00:00+00:00,0,0,3,1
2025-01-24 00:00:00+00:00,8,1,0,0
2025-01-31 00:00:00+00:00,1,1,0,0
2025-02-01 00:00:00+00:00,1,1,0,0
2025-02-02 00:00:00+00:00,2,2,0,0
2025-02-03 00:00:00+00:00,1,1,0,0
2025-02-07 00:00:00+00:00,2,1,0,0
2025-02-08 00:00:00+00:00,11,1,0,0
