time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-24 00:00:00+00:00,,,5,3
2025-08-25 00:00:00+00:00,1.0,1.0,57,12
2025-08-26 00:00:00+00:00,2.0,2.0,66,16
2025-08-27 00:00:00+00:00,2.0,1.0,16,8
2025-08-28 00:00:00+00:00,,,55,6
2025-08-29 00:00:00+00:00,,,13,4
2025-08-30 00:00:00+00:00,4.0,3.0,48,7
2025-08-31 00:00:00+00:00,,,8,3
2025-09-01 00:00:00+00:00,2.0,2.0,232,12
2025-09-02 00:00:00+00:00,1.0,1.0,107,10
2025-09-03 00:00:00+00:00,2.0,2.0,137,12
2025-09-04 00:00:00+00:00,3.0,3.0,56,7
2025-09-05 00:00:00+00:00,,,46,9
2025-09-06 00:00:00+00:00,3.0,2.0,14,5
