url_path,views_total,views_unique
/cicsdev/cics-banking-sample-application-cbsa,260,167
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src,58,34
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src/base,35,22
/cicsdev/cics-banking-sample-application-cbsa/tree/main/doc,19,12
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src/base/cobol_src,18,13
/cicsdev/cics-banking-sample-application-cbsa/tree/main,17,11
/cicsdev/cics-banking-sample-application-cbsa/tree/main/etc,7,6
/cicsdev/cics-banking-sample-application-cbsa/blob/main/doc/CBSA_Architecture_guide.md,6,6
/cicsdev/cics-banking-sample-application-cbsa/tree/main/etc/install,5,5
/cicsdev/cics-banking-sample-application-cbsa/blob/main/doc/images/Architecture/Baseinstall_CBSA_MAIN_MENU.jpg,5,4
