time_iso8601,stars_cumulative
2023-09-02 00:00:00+00:00,1
2023-09-19 00:00:00+00:00,2
2023-10-09 00:00:00+00:00,3
2023-10-12 00:00:00+00:00,4
2023-10-19 00:00:00+00:00,5
2024-03-27 00:00:00+00:00,6
2024-04-22 00:00:00+00:00,7
2024-06-15 00:00:00+00:00,8
2024-07-07 00:00:00+00:00,9
2024-07-13 00:00:00+00:00,10
2024-08-20 00:00:00+00:00,11
2024-09-17 00:00:00+00:00,12
2024-12-23 00:00:00+00:00,13
2025-03-27 00:00:00+00:00,14
2025-03-29 00:00:00+00:00,15
2025-05-06 00:00:00+00:00,16
2025-05-15 00:00:00+00:00,17
2025-05-19 00:00:00+00:00,18
2025-06-05 00:00:00+00:00,19
2025-08-13 00:00:00+00:00,20
