time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-15 00:00:00+00:00,0,0,37,11
2024-11-17 00:00:00+00:00,0,0,3,1
2024-11-18 00:00:00+00:00,4,3,77,9
2024-11-19 00:00:00+00:00,0,0,20,7
2024-11-20 00:00:00+00:00,1,1,41,12
2024-11-21 00:00:00+00:00,0,0,77,11
2024-11-22 00:00:00+00:00,0,0,23,8
2024-11-23 00:00:00+00:00,2,1,7,3
2024-11-24 00:00:00+00:00,0,0,3,3
2024-11-25 00:00:00+00:00,3,2,37,11
2024-11-26 00:00:00+00:00,1,1,335,7
2024-11-27 00:00:00+00:00,2,1,55,12
2024-11-28 00:00:00+00:00,1,1,281,7
