time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-02 00:00:00+00:00,0,0,1,1
2024-12-10 00:00:00+00:00,0,0,1,1
2025-01-02 00:00:00+00:00,0,0,1,1
2025-01-07 00:00:00+00:00,0,0,8,1
2025-01-10 00:00:00+00:00,1,1,0,0
2025-01-20 00:00:00+00:00,0,0,6,1
2025-01-29 00:00:00+00:00,0,0,1,1
2025-02-07 00:00:00+00:00,1,1,0,0
2025-02-20 00:00:00+00:00,0,0,4,1
2025-02-25 00:00:00+00:00,0,0,3,1
2025-03-05 00:00:00+00:00,0,0,2,1
2025-03-08 00:00:00+00:00,1,1,0,0
2025-03-09 00:00:00+00:00,1,1,0,0
2025-03-10 00:00:00+00:00,0,0,16,1
2025-03-23 00:00:00+00:00,1,1,0,0
2025-03-26 00:00:00+00:00,0,0,1,1
2025-04-13 00:00:00+00:00,1,1,0,0
2025-04-28 00:00:00+00:00,0,0,1,1
2025-04-30 00:00:00+00:00,1,1,0,0
2025-05-14 00:00:00+00:00,1,1,0,0
2025-05-22 00:00:00+00:00,1,1,0,0
