time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-04 00:00:00+00:00,0,0,8,1
2023-12-05 00:00:00+00:00,0,0,2,1
2023-12-06 00:00:00+00:00,1,1,0,0
2023-12-07 00:00:00+00:00,0,0,5,3
2023-12-08 00:00:00+00:00,0,0,2,1
2023-12-11 00:00:00+00:00,1,1,36,2
2023-12-13 00:00:00+00:00,1,1,8,1
2023-12-14 00:00:00+00:00,0,0,6,1
2023-12-18 00:00:00+00:00,0,0,2,1
2023-12-20 00:00:00+00:00,0,0,2,1
2023-12-21 00:00:00+00:00,0,0,22,1
2023-12-22 00:00:00+00:00,1,1,0,0
2023-12-25 00:00:00+00:00,0,0,2,1
2023-12-27 00:00:00+00:00,0,0,37,1
2023-12-28 00:00:00+00:00,1,1,0,0
2023-12-30 00:00:00+00:00,2,1,0,0
2024-01-01 00:00:00+00:00,0,0,2,1
2024-01-02 00:00:00+00:00,1,1,0,0
2024-01-06 00:00:00+00:00,0,0,2,1
2024-01-09 00:00:00+00:00,0,0,2,1
2024-01-12 00:00:00+00:00,2,2,4,2
2024-01-14 00:00:00+00:00,0,0,4,2
2024-01-18 00:00:00+00:00,0,0,22,2
2024-01-20 00:00:00+00:00,1,1,0,0
2024-01-21 00:00:00+00:00,0,0,14,2
2024-01-23 00:00:00+00:00,1,1,0,0
2024-01-24 00:00:00+00:00,0,0,6,2
2024-01-25 00:00:00+00:00,0,0,4,1
2024-01-26 00:00:00+00:00,0,0,21,1
2024-01-27 00:00:00+00:00,0,0,2,1
2024-01-29 00:00:00+00:00,2,1,0,0
2024-01-30 00:00:00+00:00,1,1,0,0
2024-02-02 00:00:00+00:00,0,0,2,1
2024-02-05 00:00:00+00:00,0,0,2,1
2024-02-06 00:00:00+00:00,0,0,3,2
2024-02-07 00:00:00+00:00,0,0,41,5
2024-02-12 00:00:00+00:00,2,1,5,2
2024-02-13 00:00:00+00:00,0,0,3,2
2024-02-14 00:00:00+00:00,0,0,4,1
2024-02-15 00:00:00+00:00,0,0,4,2
2024-02-16 00:00:00+00:00,1,1,2,1
2024-02-19 00:00:00+00:00,0,0,17,2
2024-02-21 00:00:00+00:00,0,0,2,1
2024-02-22 00:00:00+00:00,0,0,2,1
2024-02-26 00:00:00+00:00,1,1,2,1
2024-02-27 00:00:00+00:00,1,1,0,0
2024-02-29 00:00:00+00:00,0,0,5,1
2024-03-01 00:00:00+00:00,1,1,2,1
2024-03-04 00:00:00+00:00,1,1,0,0
2024-03-06 00:00:00+00:00,0,0,4,1
2024-03-07 00:00:00+00:00,1,1,58,2
2024-03-08 00:00:00+00:00,0,0,8,2
2024-03-10 00:00:00+00:00,1,1,0,0
2024-03-11 00:00:00+00:00,0,0,4,1
2024-03-12 00:00:00+00:00,0,0,2,1
2024-03-13 00:00:00+00:00,0,0,2,1
2024-03-14 00:00:00+00:00,0,0,5,2
2024-03-15 00:00:00+00:00,0,0,2,1
