time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-18 00:00:00+00:00,1,1,3,2
2024-11-19 00:00:00+00:00,0,0,3,2
2024-11-22 00:00:00+00:00,0,0,2,2
2024-11-23 00:00:00+00:00,1,1,0,0
2024-11-28 00:00:00+00:00,0,0,1,1
2024-11-30 00:00:00+00:00,1,1,0,0
2024-12-01 00:00:00+00:00,1,1,0,0
2024-12-03 00:00:00+00:00,0,0,11,1
2024-12-07 00:00:00+00:00,1,1,0,0
2024-12-12 00:00:00+00:00,1,1,0,0
2024-12-13 00:00:00+00:00,0,0,1,1
2024-12-14 00:00:00+00:00,1,1,0,0
2024-12-18 00:00:00+00:00,0,0,1,1
2024-12-21 00:00:00+00:00,1,1,0,0
2024-12-22 00:00:00+00:00,0,0,13,1
2024-12-26 00:00:00+00:00,0,0,1,1
2024-12-28 00:00:00+00:00,1,1,0,0
2024-12-30 00:00:00+00:00,0,0,1,1
2025-01-02 00:00:00+00:00,1,1,1,1
2025-01-03 00:00:00+00:00,0,0,6,3
2025-01-04 00:00:00+00:00,1,1,0,0
2025-01-09 00:00:00+00:00,0,0,11,1
2025-01-11 00:00:00+00:00,1,1,0,0
2025-01-13 00:00:00+00:00,1,1,1,1
2025-01-14 00:00:00+00:00,0,0,48,1
2025-01-15 00:00:00+00:00,0,0,4,1
2025-01-18 00:00:00+00:00,1,1,0,0
2025-01-21 00:00:00+00:00,0,0,13,5
2025-01-22 00:00:00+00:00,1,1,0,0
2025-01-25 00:00:00+00:00,1,1,6,1
2025-01-27 00:00:00+00:00,0,0,73,1
