time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-15 00:00:00+00:00,1,1,0,0
2024-11-16 00:00:00+00:00,0,0,4,1
2024-11-20 00:00:00+00:00,0,0,2,1
2024-11-24 00:00:00+00:00,0,0,1,1
2024-12-02 00:00:00+00:00,0,0,2,1
2024-12-08 00:00:00+00:00,0,0,1,1
2024-12-11 00:00:00+00:00,0,0,1,1
2024-12-13 00:00:00+00:00,0,0,1,1
2024-12-17 00:00:00+00:00,0,0,1,1
2024-12-20 00:00:00+00:00,0,0,1,1
2024-12-21 00:00:00+00:00,0,0,1,1
2024-12-28 00:00:00+00:00,0,0,1,1
2025-01-05 00:00:00+00:00,0,0,2,2
2025-01-06 00:00:00+00:00,0,0,1,1
2025-01-10 00:00:00+00:00,1,1,0,0
2025-01-16 00:00:00+00:00,1,1,0,0
2025-01-17 00:00:00+00:00,0,0,1,1
2025-01-20 00:00:00+00:00,0,0,1,1
2025-01-28 00:00:00+00:00,0,0,1,1
2025-02-01 00:00:00+00:00,0,0,1,1
2025-02-07 00:00:00+00:00,0,0,1,1
2025-02-10 00:00:00+00:00,0,0,1,1
2025-02-11 00:00:00+00:00,0,0,1,1
2025-02-13 00:00:00+00:00,0,0,14,2
2025-02-14 00:00:00+00:00,0,0,1,1
