url_path,views_total,views_unique
/cicsdev/cics-explorer-access-level-policing/pull/1,15,3
/cicsdev/cics-explorer-access-level-policing,9,2
/cicsdev/cics-explorer-access-level-policing/pull/1/commits,6,2
/cicsdev/cics-explorer-access-level-policing/pulls,5,1
/cicsdev/cics-explorer-access-level-policing/pull/1/commits/113b8b56ac74ba5627ea9222a438b0a49cb7d71d,4,2
/cicsdev/cics-explorer-access-level-policing/blob/main/doc/ARTICLE.md,2,2
/cicsdev/cics-explorer-access-level-policing/commit/113b8b56ac74ba5627ea9222a438b0a49cb7d71d,2,2
/cicsdev/cics-explorer-access-level-policing/pull/1/files,2,2
/cicsdev/cics-explorer-access-level-policing/tree/main,2,2
/cicsdev/cics-explorer-access-level-policing/tree/main/doc,2,2
