time_iso8601,forks_cumulative
2021-11-09 00:00:00+00:00,1
2021-12-13 00:00:00+00:00,2
2022-11-04 00:00:00+00:00,3
2022-11-22 00:00:00+00:00,4
2023-01-06 00:00:00+00:00,5
2023-04-04 00:00:00+00:00,6
2023-12-21 00:00:00+00:00,7
2024-01-08 00:00:00+00:00,8
2024-01-09 00:00:00+00:00,9
2024-02-02 00:00:00+00:00,10
2024-04-05 00:00:00+00:00,11
2024-04-18 00:00:00+00:00,12
2024-06-28 00:00:00+00:00,13
2024-07-06 00:00:00+00:00,14
2024-08-02 00:00:00+00:00,15
2024-10-07 00:00:00+00:00,16
2024-12-02 00:00:00+00:00,17
2025-03-11 00:00:00+00:00,18
2025-03-17 00:00:00+00:00,19
2025-05-19 00:00:00+00:00,20
2025-05-23 00:00:00+00:00,21
2025-06-02 00:00:00+00:00,22
2025-07-03 00:00:00+00:00,23
2025-07-25 00:00:00+00:00,24
2025-07-29 00:00:00+00:00,25
2025-07-30 00:00:00+00:00,26
2025-08-06 00:00:00+00:00,27
2025-09-11 00:00:00+00:00,28
2025-09-16 00:00:00+00:00,29
2025-09-19 00:00:00+00:00,30
2025-09-24 00:00:00+00:00,31
2025-09-26 00:00:00+00:00,32
2025-10-13 00:00:00+00:00,33
2025-11-04 00:00:00+00:00,34
2025-11-09 00:00:00+00:00,35
2025-12-18 00:00:00+00:00,36
2025-12-19 00:00:00+00:00,37
2026-01-30 00:00:00+00:00,38
2026-02-04 00:00:00+00:00,39
2026-02-09 00:00:00+00:00,40
2026-02-24 00:00:00+00:00,41
2026-03-02 00:00:00+00:00,42
2026-03-24 00:00:00+00:00,43
2026-03-25 00:00:00+00:00,46
2026-03-26 00:00:00+00:00,47
2026-03-31 00:00:00+00:00,48
2026-04-03 00:00:00+00:00,49
2026-04-18 00:00:00+00:00,50
2026-04-23 00:00:00+00:00,51
2026-04-28 00:00:00+00:00,52
2026-05-05 00:00:00+00:00,53
2026-05-31 00:00:00+00:00,54
2026-06-30 00:00:00+00:00,55
2026-07-14 00:00:00+00:00,56
2026-07-24 00:00:00+00:00,57
2026-08-07 00:00:00+00:00,58
