url_path,views_total,views_unique
/cicsdev/cics-genapp,179,103
/cicsdev/cics-genapp/tree/main/base,107,62
/cicsdev/cics-genapp/tree/main/base/src,62,37
/cicsdev/cics-genapp/tree/main,38,19
/cicsdev/cics-genapp/blob/main/base/Installation.md,20,15
/cicsdev/cics-genapp/blob/main/base/Architecture.md,16,10
/cicsdev/cics-genapp/blob/main/base/src/lgacdb01.cbl,15,12
/cicsdev/cics-genapp/blob/main/base/Building.md,14,11
/cicsdev/cics-genapp/tree/main/base/cntl,14,9
/cicsdev/cics-genapp/tree/main/base/data,12,8
