time_iso8601,stars_cumulative
2022-07-28 00:00:00+00:00,1
2022-11-22 00:00:00+00:00,2
2022-11-29 00:00:00+00:00,3
2023-08-06 00:00:00+00:00,4
2024-05-10 00:00:00+00:00,5
2024-07-07 00:00:00+00:00,6
2024-08-20 00:00:00+00:00,7
2024-08-28 00:00:00+00:00,8
2024-09-17 00:00:00+00:00,9
2024-10-18 00:00:00+00:00,10
2024-12-23 00:00:00+00:00,11
2025-02-26 00:00:00+00:00,12
2025-03-14 00:00:00+00:00,13
2025-03-18 00:00:00+00:00,14
2025-03-27 00:00:00+00:00,15
2025-03-29 00:00:00+00:00,16
2025-05-15 00:00:00+00:00,17
2025-06-27 00:00:00+00:00,18
2025-07-21 00:00:00+00:00,19
2025-07-30 00:00:00+00:00,20
2025-08-07 00:00:00+00:00,21
2025-08-18 00:00:00+00:00,22
