url_path,views_total,views_unique
/cicsdev/cics-glue-xfcreq-sample,21,14
/cicsdev/cics-glue-xfcreq-sample/blob/main/doc/documentation.pdf,6,5
/cicsdev/cics-glue-xfcreq-sample/blob/main/src/Cobol/EXITMAIN.cbl,5,2
/cicsdev/cics-glue-xfcreq-sample/tree/main,3,3
/cicsdev/cics-glue-xfcreq-sample/blob/main/src/Cobol/EXITDATA.copy,3,2
/cicsdev/cics-glue-xfcreq-sample/blob/main/src/Assembler/SMPFCREQ.asm,2,2
/cicsdev/cics-glue-xfcreq-sample/tree/main/etc/resources,2,2
/cicsdev/cics-glue-xfcreq-sample/tree/main/src,2,2
/cicsdev/cics-glue-xfcreq-sample/blob/main/etc/resources/csd/CSD-LOCAL.txt,1,1
/cicsdev/cics-glue-xfcreq-sample/blob/main/etc/resources/csd/CSD-REMOTE.txt,1,1
