time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-13 00:00:00+00:00,0,0,0,0
2026-02-14 00:00:00+00:00,0,0,0,0
2026-02-15 00:00:00+00:00,0,0,0,0
2026-02-16 00:00:00+00:00,0,0,0,0
2026-02-17 00:00:00+00:00,0,0,0,0
2026-02-18 00:00:00+00:00,0,0,0,0
2026-02-19 00:00:00+00:00,0,0,0,0
2026-02-20 00:00:00+00:00,0,0,0,0
2026-02-21 00:00:00+00:00,0,0,0,0
2026-02-22 00:00:00+00:00,0,0,0,0
2026-02-23 00:00:00+00:00,0,0,0,0
2026-02-24 00:00:00+00:00,0,0,0,0
2026-02-25 00:00:00+00:00,0,0,0,0
2026-02-26 00:00:00+00:00,0,0,63,3
2026-02-27 00:00:00+00:00,9,9,187,9
2026-02-28 00:00:00+00:00,0,0,0,0
2026-03-01 00:00:00+00:00,0,0,0,0
2026-03-02 00:00:00+00:00,57,31,110,6
2026-03-03 00:00:00+00:00,2,2,26,9
2026-03-04 00:00:00+00:00,0,0,0,0
2026-03-05 00:00:00+00:00,0,0,27,11
2026-03-06 00:00:00+00:00,1,1,1,1
2026-03-07 00:00:00+00:00,0,0,1,1
2026-03-08 00:00:00+00:00,1,1,1,1
2026-03-09 00:00:00+00:00,0,0,1,1
2026-03-10 00:00:00+00:00,0,0,1,1
2026-03-11 00:00:00+00:00,0,0,0,0
2026-03-12 00:00:00+00:00,0,0,8,2
2026-03-13 00:00:00+00:00,0,0,16,3
2026-03-14 00:00:00+00:00,0,0,0,0
2026-03-15 00:00:00+00:00,2,2,0,0
2026-03-16 00:00:00+00:00,2,2,35,7
2026-03-17 00:00:00+00:00,1,1,3,3
2026-03-18 00:00:00+00:00,0,0,5,1
2026-03-19 00:00:00+00:00,0,0,1,1
2026-03-20 00:00:00+00:00,0,0,0,0
2026-03-21 00:00:00+00:00,0,0,0,0
2026-03-22 00:00:00+00:00,0,0,0,0
2026-03-23 00:00:00+00:00,1,1,7,1
2026-03-24 00:00:00+00:00,1,1,1,1
2026-03-25 00:00:00+00:00,1,1,0,0
2026-03-26 00:00:00+00:00,1,1,1,1
2026-03-27 00:00:00+00:00,1,1,3,2
2026-03-28 00:00:00+00:00,0,0,0,0
2026-03-29 00:00:00+00:00,0,0,0,0
2026-03-30 00:00:00+00:00,2,2,1,1
2026-03-31 00:00:00+00:00,0,0,1,1
2026-04-01 00:00:00+00:00,0,0,2,1
2026-04-02 00:00:00+00:00,1,1,0,0
2026-04-03 00:00:00+00:00,1,1,0,0
2026-04-04 00:00:00+00:00,0,0,0,0
2026-04-05 00:00:00+00:00,1,1,0,0
2026-04-06 00:00:00+00:00,1,1,0,0
2026-04-07 00:00:00+00:00,7,2,47,5
2026-04-08 00:00:00+00:00,8,3,26,4
2026-04-09 00:00:00+00:00,0,0,8,4
2026-04-10 00:00:00+00:00,1,1,8,4
2026-04-11 00:00:00+00:00,0,0,2,1
2026-04-12 00:00:00+00:00,1,1,4,2
2026-04-13 00:00:00+00:00,1,1,21,3
2026-04-14 00:00:00+00:00,1,1,1,1
2026-04-15 00:00:00+00:00,2,2,8,5
