time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-20 00:00:00+00:00,0,0,2,1
2024-11-21 00:00:00+00:00,1,1,0,0
2024-11-23 00:00:00+00:00,0,0,1,1
2024-11-26 00:00:00+00:00,1,1,0,0
2024-11-30 00:00:00+00:00,0,0,1,1
2024-12-03 00:00:00+00:00,1,1,0,0
2024-12-08 00:00:00+00:00,0,0,1,1
2024-12-10 00:00:00+00:00,1,1,0,0
2024-12-11 00:00:00+00:00,0,0,1,1
2024-12-17 00:00:00+00:00,1,1,0,0
2024-12-24 00:00:00+00:00,1,1,0,0
2024-12-31 00:00:00+00:00,1,1,0,0
2025-01-07 00:00:00+00:00,1,1,5,1
2025-01-09 00:00:00+00:00,0,0,1,1
2025-01-12 00:00:00+00:00,1,1,0,0
2025-01-13 00:00:00+00:00,1,1,0,0
2025-01-14 00:00:00+00:00,1,1,0,0
2025-01-21 00:00:00+00:00,1,1,0,0
2025-01-28 00:00:00+00:00,1,1,0,0
2025-02-06 00:00:00+00:00,1,1,0,0
2025-02-08 00:00:00+00:00,0,0,1,1
2025-02-10 00:00:00+00:00,1,1,0,0
2025-02-14 00:00:00+00:00,0,0,1,1
2025-02-20 00:00:00+00:00,0,0,1,1
2025-02-22 00:00:00+00:00,2,2,1,1
2025-02-23 00:00:00+00:00,1,1,0,0
2025-02-24 00:00:00+00:00,0,0,1,1
2025-03-03 00:00:00+00:00,2,2,0,0
2025-03-04 00:00:00+00:00,0,0,2,1
2025-03-08 00:00:00+00:00,1,1,1,1
2025-03-09 00:00:00+00:00,1,1,0,0
2025-03-11 00:00:00+00:00,1,1,0,0
2025-04-03 00:00:00+00:00,1,1,0,0
2025-04-07 00:00:00+00:00,0,0,1,1
2025-04-13 00:00:00+00:00,1,1,0,0
2025-04-30 00:00:00+00:00,1,1,0,0
2025-05-06 00:00:00+00:00,0,0,1,1
2025-05-11 00:00:00+00:00,1,1,0,0
2025-05-22 00:00:00+00:00,1,1,0,0
2025-05-25 00:00:00+00:00,1,1,0,0
2025-06-06 00:00:00+00:00,1,1,0,0
2025-06-12 00:00:00+00:00,0,0,1,1
2025-06-13 00:00:00+00:00,0,0,1,1
2025-06-18 00:00:00+00:00,1,1,0,0
2025-06-19 00:00:00+00:00,1,1,0,0
2025-06-28 00:00:00+00:00,1,1,0,0
2025-07-01 00:00:00+00:00,1,1,0,0
2025-07-03 00:00:00+00:00,1,1,0,0
2025-07-04 00:00:00+00:00,2,2,0,0
2025-07-05 00:00:00+00:00,2,2,0,0
2025-07-06 00:00:00+00:00,1,1,0,0
2025-07-07 00:00:00+00:00,0,0,1,1
2025-07-08 00:00:00+00:00,0,0,1,1
2025-07-09 00:00:00+00:00,0,0,1,1
2025-07-10 00:00:00+00:00,1,1,0,0
2025-07-11 00:00:00+00:00,1,1,0,0
2025-07-15 00:00:00+00:00,1,1,0,0
2025-07-21 00:00:00+00:00,1,1,0,0
2025-07-22 00:00:00+00:00,0,0,4,4
2025-07-30 00:00:00+00:00,1,1,0,0
2025-08-01 00:00:00+00:00,1,1,0,0
2025-08-07 00:00:00+00:00,1,1,0,0
2025-08-13 00:00:00+00:00,1,1,0,0
2025-08-14 00:00:00+00:00,1,1,0,0
2025-08-15 00:00:00+00:00,1,1,0,0
2025-08-16 00:00:00+00:00,1,1,0,0
2025-08-21 00:00:00+00:00,1,1,0,0
