time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-18 00:00:00+00:00,1,1,0,0
2024-11-19 00:00:00+00:00,0,0,4,1
2024-11-23 00:00:00+00:00,1,1,4,1
2024-11-25 00:00:00+00:00,3,3,7,2
2024-11-26 00:00:00+00:00,0,0,1,1
2024-11-27 00:00:00+00:00,0,0,6,1
2024-11-28 00:00:00+00:00,0,0,5,1
2024-11-29 00:00:00+00:00,0,0,1,1
2024-11-30 00:00:00+00:00,1,1,1,1
2024-12-02 00:00:00+00:00,0,0,3,1
2024-12-03 00:00:00+00:00,0,0,3,2
2024-12-06 00:00:00+00:00,0,0,7,1
2024-12-07 00:00:00+00:00,1,1,0,0
2024-12-14 00:00:00+00:00,1,1,0,0
2024-12-17 00:00:00+00:00,0,0,9,1
2024-12-21 00:00:00+00:00,1,1,0,0
2024-12-28 00:00:00+00:00,1,1,0,0
2025-01-04 00:00:00+00:00,1,1,0,0
2025-01-11 00:00:00+00:00,1,1,0,0
2025-01-14 00:00:00+00:00,0,0,1,1
2025-01-15 00:00:00+00:00,0,0,1,1
2025-01-17 00:00:00+00:00,0,0,1,1
2025-01-18 00:00:00+00:00,1,1,0,0
2025-01-21 00:00:00+00:00,0,0,2,1
2025-01-25 00:00:00+00:00,1,1,0,0
2025-02-01 00:00:00+00:00,1,1,0,0
2025-02-05 00:00:00+00:00,1,1,13,1
2025-02-07 00:00:00+00:00,1,1,0,0
2025-02-08 00:00:00+00:00,1,1,0,0
2025-02-12 00:00:00+00:00,0,0,1,1
2025-02-13 00:00:00+00:00,1,1,0,0
2025-02-15 00:00:00+00:00,1,1,0,0
2025-02-18 00:00:00+00:00,0,0,8,1
2025-02-19 00:00:00+00:00,1,1,0,0
2025-02-20 00:00:00+00:00,0,0,1,1
2025-02-22 00:00:00+00:00,1,1,0,0
2025-02-23 00:00:00+00:00,0,0,1,1
2025-02-25 00:00:00+00:00,0,0,6,1
2025-03-01 00:00:00+00:00,1,1,0,0
2025-03-03 00:00:00+00:00,1,1,0,0
2025-03-04 00:00:00+00:00,1,1,2,2
2025-03-06 00:00:00+00:00,2,2,0,0
2025-03-07 00:00:00+00:00,1,1,0,0
2025-03-08 00:00:00+00:00,1,1,0,0
2025-03-09 00:00:00+00:00,2,2,0,0
2025-03-10 00:00:00+00:00,0,0,1,1
2025-03-15 00:00:00+00:00,1,1,0,0
2025-03-16 00:00:00+00:00,1,1,0,0
2025-03-17 00:00:00+00:00,0,0,1,1
2025-03-22 00:00:00+00:00,2,2,0,0
2025-03-24 00:00:00+00:00,0,0,1,1
2025-03-29 00:00:00+00:00,1,1,0,0
2025-04-03 00:00:00+00:00,1,1,0,0
2025-04-05 00:00:00+00:00,1,1,0,0
2025-04-08 00:00:00+00:00,0,0,1,1
2025-04-09 00:00:00+00:00,0,0,22,2
2025-04-12 00:00:00+00:00,1,1,0,0
2025-04-13 00:00:00+00:00,1,1,0,0
2025-04-18 00:00:00+00:00,1,1,1,1
2025-04-19 00:00:00+00:00,1,1,0,0
2025-04-26 00:00:00+00:00,1,1,0,0
2025-04-29 00:00:00+00:00,0,0,6,1
2025-04-30 00:00:00+00:00,1,1,0,0
2025-05-03 00:00:00+00:00,1,1,0,0
2025-05-08 00:00:00+00:00,0,0,1,1
2025-05-10 00:00:00+00:00,2,2,0,0
2025-05-15 00:00:00+00:00,0,0,1,1
2025-05-17 00:00:00+00:00,1,1,0,0
2025-05-24 00:00:00+00:00,0,0,12,1
2025-05-28 00:00:00+00:00,0,0,10,2
2025-05-29 00:00:00+00:00,0,0,13,1
2025-06-05 00:00:00+00:00,1,1,2,1
2025-06-08 00:00:00+00:00,1,1,0,0
2025-06-11 00:00:00+00:00,0,0,1,1
2025-06-14 00:00:00+00:00,1,1,1,1
2025-06-18 00:00:00+00:00,1,1,0,0
2025-06-19 00:00:00+00:00,1,1,0,0
2025-06-27 00:00:00+00:00,0,0,1,1
2025-06-28 00:00:00+00:00,1,1,0,0
2025-07-01 00:00:00+00:00,1,1,4,2
2025-07-03 00:00:00+00:00,1,1,0,0
2025-07-04 00:00:00+00:00,3,3,1,1
2025-07-05 00:00:00+00:00,1,1,0,0
2025-07-06 00:00:00+00:00,1,1,0,0
2025-07-10 00:00:00+00:00,1,1,0,0
2025-07-11 00:00:00+00:00,1,1,0,0
2025-07-15 00:00:00+00:00,1,1,0,0
2025-07-16 00:00:00+00:00,0,0,1,1
2025-07-18 00:00:00+00:00,0,0,1,1
2025-07-19 00:00:00+00:00,2,2,0,0
2025-07-24 00:00:00+00:00,1,1,0,0
2025-07-27 00:00:00+00:00,1,1,0,0
2025-07-28 00:00:00+00:00,0,0,2,2
2025-07-30 00:00:00+00:00,1,1,0,0
2025-08-02 00:00:00+00:00,0,0,1,1
2025-08-06 00:00:00+00:00,1,1,0,0
2025-08-07 00:00:00+00:00,1,1,0,0
2025-08-08 00:00:00+00:00,0,0,2,2
2025-08-11 00:00:00+00:00,0,0,1,1
2025-08-12 00:00:00+00:00,1,1,0,0
