time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-18 00:00:00+00:00,,,4,1
2025-09-20 00:00:00+00:00,2.0,2.0,1,1
2025-09-21 00:00:00+00:00,2.0,2.0,59,5
2025-09-22 00:00:00+00:00,3.0,2.0,20,4
2025-09-23 00:00:00+00:00,,,25,5
2025-09-24 00:00:00+00:00,,,5,1
2025-09-25 00:00:00+00:00,3.0,2.0,42,3
2025-09-26 00:00:00+00:00,,,108,9
2025-09-27 00:00:00+00:00,,,5,3
2025-09-28 00:00:00+00:00,,,61,3
2025-09-29 00:00:00+00:00,,,94,1
2025-09-30 00:00:00+00:00,3.0,3.0,54,6
2025-10-01 00:00:00+00:00,,,6,2
