time_iso8601,stars_cumulative
2017-01-20 00:00:00+00:00,1
2017-04-30 00:00:00+00:00,2
2018-10-16 00:00:00+00:00,3
2019-10-30 00:00:00+00:00,4
2020-11-27 00:00:00+00:00,5
2021-12-30 00:00:00+00:00,6
2022-01-21 00:00:00+00:00,7
2022-06-27 00:00:00+00:00,8
2022-11-25 00:00:00+00:00,9
2023-02-24 00:00:00+00:00,10
2023-03-14 00:00:00+00:00,11
2023-08-06 00:00:00+00:00,12
2023-09-10 00:00:00+00:00,13
2024-02-20 00:00:00+00:00,14
2024-05-04 00:00:00+00:00,15
2024-05-10 00:00:00+00:00,16
2024-08-27 00:00:00+00:00,17
