time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-29 00:00:00+00:00,0,0,9,2
2026-01-30 00:00:00+00:00,0,0,31,3
2026-01-31 00:00:00+00:00,1,1,0,0
2026-02-01 00:00:00+00:00,0,0,2,1
2026-02-02 00:00:00+00:00,0,0,4,3
2026-02-03 00:00:00+00:00,0,0,3,3
2026-02-04 00:00:00+00:00,3,2,11,4
2026-02-05 00:00:00+00:00,0,0,2,2
2026-02-06 00:00:00+00:00,0,0,11,2
2026-02-07 00:00:00+00:00,0,0,0,0
2026-02-08 00:00:00+00:00,0,0,2,1
2026-02-09 00:00:00+00:00,0,0,15,2
2026-02-10 00:00:00+00:00,0,0,5,4
2026-02-11 00:00:00+00:00,0,0,2,2
