url_path,views_total,views_unique
/cicsdev/cics-java-jcicsx-samples,16,13
/cicsdev/cics-java-jcicsx-samples/tree/main/cics-java-liberty-restapp,16,5
/cicsdev/cics-java-jcicsx-samples/blob/main/char-link-program-sample/src/main/java/sample/CharLinkServlet.java,6,4
/cicsdev/cics-java-jcicsx-samples/tree/main/char-link-program-sample/src/main/java/sample,5,4
/cicsdev/cics-java-jcicsx-samples/tree/main/char-link-program-sample/src/main,4,4
/cicsdev/cics-java-jcicsx-samples/pulls,3,3
/cicsdev/cics-java-jcicsx-samples/tree/main/char-link-program-sample,3,3
/cicsdev/cics-java-jcicsx-samples/tree/main/cics-java-liberty-restapp/src/main/java/com/ibm/cicsdev/restapp,3,3
/cicsdev/cics-java-jcicsx-samples/blob/main/cics-java-liberty-restapp/src/main/cobol/EDUCHAN.cbl,3,2
/cicsdev/cics-java-jcicsx-samples/tree/main/cics-java-liberty-restapp/src/main,3,2
