time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-19 00:00:00+00:00,6,1,14,1
2024-11-20 00:00:00+00:00,0,0,35,2
2024-11-21 00:00:00+00:00,0,0,7,2
2024-11-22 00:00:00+00:00,0,0,11,4
2024-11-23 00:00:00+00:00,0,0,18,2
2024-11-24 00:00:00+00:00,2,1,0,0
2024-11-25 00:00:00+00:00,4,1,3,2
2024-11-26 00:00:00+00:00,1,1,0,0
2024-11-27 00:00:00+00:00,0,0,1,1
2024-11-28 00:00:00+00:00,0,0,1,1
2024-12-01 00:00:00+00:00,2,1,0,0
2024-12-02 00:00:00+00:00,0,0,12,2
2024-12-03 00:00:00+00:00,0,0,1,1
2024-12-04 00:00:00+00:00,2,1,35,4
2024-12-05 00:00:00+00:00,2,1,6,1
2024-12-08 00:00:00+00:00,2,1,0,0
2024-12-10 00:00:00+00:00,0,0,6,1
2024-12-12 00:00:00+00:00,0,0,1,1
2024-12-14 00:00:00+00:00,1,1,0,0
2024-12-15 00:00:00+00:00,2,1,0,0
2024-12-17 00:00:00+00:00,4,1,0,0
2024-12-19 00:00:00+00:00,0,0,2,2
2024-12-20 00:00:00+00:00,0,0,9,1
2024-12-22 00:00:00+00:00,2,1,0,0
2024-12-24 00:00:00+00:00,0,0,2,2
2024-12-25 00:00:00+00:00,0,0,23,1
2024-12-29 00:00:00+00:00,2,1,0,0
2024-12-31 00:00:00+00:00,1,1,5,1
2025-01-01 00:00:00+00:00,0,0,5,1
2025-01-02 00:00:00+00:00,0,0,16,3
2025-01-05 00:00:00+00:00,2,1,1,1
2025-01-07 00:00:00+00:00,4,1,1,1
2025-01-08 00:00:00+00:00,4,1,10,3
2025-01-09 00:00:00+00:00,0,0,22,1
2025-01-10 00:00:00+00:00,1,1,15,2
2025-01-11 00:00:00+00:00,2,2,0,0
2025-01-12 00:00:00+00:00,2,1,0,0
2025-01-13 00:00:00+00:00,1,1,0,0
2025-01-14 00:00:00+00:00,4,1,0,0
2025-01-17 00:00:00+00:00,0,0,17,1
2025-01-18 00:00:00+00:00,0,0,1,1
2025-01-19 00:00:00+00:00,2,1,0,0
2025-01-20 00:00:00+00:00,2,1,5,1
2025-01-21 00:00:00+00:00,6,1,1,1
2025-01-22 00:00:00+00:00,0,0,6,4
2025-01-23 00:00:00+00:00,0,0,33,2
2025-01-24 00:00:00+00:00,0,0,1,1
2025-01-26 00:00:00+00:00,2,1,0,0
2025-01-27 00:00:00+00:00,0,0,1,1
2025-01-28 00:00:00+00:00,0,0,1,1
2025-01-30 00:00:00+00:00,0,0,3,3
2025-01-31 00:00:00+00:00,0,0,8,3
2025-02-01 00:00:00+00:00,1,1,0,0
2025-02-02 00:00:00+00:00,2,1,0,0
2025-02-03 00:00:00+00:00,0,0,17,4
2025-02-04 00:00:00+00:00,4,1,0,0
