url_path,views_total,views_unique
/cicsdev/cics-java-liberty-app-deployment,21,10
/cicsdev/cics-java-liberty-app-deployment/pull/3,6,5
/cicsdev/cics-java-liberty-app-deployment/pulls,4,3
/cicsdev/cics-java-liberty-app-deployment/issues,3,2
/cicsdev/cics-java-liberty-app-deployment/tree/jt-nti-patch-1,3,1
/cicsdev/cics-java-liberty-app-deployment/commit/26885ea821d28cd73a2620fd7e4f5467451f61c7,2,2
/cicsdev/cics-java-liberty-app-deployment/pull/3/changes/69e2c09b3184febd0fc26de010da0a61dbf56042,2,2
/cicsdev/cics-java-liberty-app-deployment/branches,2,1
/cicsdev/cics-java-liberty-app-deployment/tree/main,2,1
/cicsdev/cics-java-liberty-app-deployment/blob/main/MAINTAINERS.md,1,1
