time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-04 00:00:00+00:00,1,1,0,0
2023-12-05 00:00:00+00:00,0,0,1,1
2023-12-06 00:00:00+00:00,0,0,1,1
2023-12-07 00:00:00+00:00,2,2,9,2
2023-12-12 00:00:00+00:00,0,0,2,2
2023-12-13 00:00:00+00:00,1,1,0,0
2023-12-24 00:00:00+00:00,1,1,0,0
2023-12-26 00:00:00+00:00,0,0,14,1
2023-12-29 00:00:00+00:00,2,1,0,0
2024-01-02 00:00:00+00:00,0,0,1,1
2024-01-03 00:00:00+00:00,1,1,0,0
2024-01-05 00:00:00+00:00,0,0,2,2
2024-01-10 00:00:00+00:00,0,0,1,1
2024-01-11 00:00:00+00:00,0,0,1,1
2024-01-12 00:00:00+00:00,0,0,23,2
2024-01-13 00:00:00+00:00,1,1,0,0
2024-01-15 00:00:00+00:00,0,0,1,1
2024-01-17 00:00:00+00:00,0,0,4,3
2024-01-19 00:00:00+00:00,0,0,3,2
2024-01-23 00:00:00+00:00,0,0,17,1
2024-01-24 00:00:00+00:00,0,0,15,2
2024-01-26 00:00:00+00:00,0,0,1,1
2024-01-28 00:00:00+00:00,0,0,1,1
2024-01-29 00:00:00+00:00,1,1,0,0
2024-01-30 00:00:00+00:00,1,1,15,3
2024-01-31 00:00:00+00:00,0,0,1,1
2024-02-02 00:00:00+00:00,0,0,53,2
2024-02-04 00:00:00+00:00,0,0,12,1
2024-02-06 00:00:00+00:00,0,0,1,1
2024-02-08 00:00:00+00:00,0,0,1,1
2024-02-20 00:00:00+00:00,0,0,1,1
2024-02-22 00:00:00+00:00,0,0,1,1
2024-02-26 00:00:00+00:00,1,1,23,2
2024-02-27 00:00:00+00:00,0,0,17,1
2024-02-28 00:00:00+00:00,0,0,2,1
2024-02-29 00:00:00+00:00,1,1,0,0
2024-03-01 00:00:00+00:00,0,0,2,2
2024-03-04 00:00:00+00:00,0,0,1,1
2024-03-05 00:00:00+00:00,0,0,1,1
2024-03-06 00:00:00+00:00,0,0,1,1
2024-03-08 00:00:00+00:00,0,0,1,1
2024-03-09 00:00:00+00:00,0,0,1,1
2024-03-10 00:00:00+00:00,1,1,0,0
2024-03-11 00:00:00+00:00,0,0,12,1
2024-03-13 00:00:00+00:00,0,0,3,2
2024-03-19 00:00:00+00:00,0,0,12,2
2024-03-21 00:00:00+00:00,0,0,1,1
2024-03-25 00:00:00+00:00,1,1,0,0
2024-03-27 00:00:00+00:00,0,0,2,1
2024-03-28 00:00:00+00:00,1,1,0,0
2024-03-29 00:00:00+00:00,0,0,3,2
2024-04-01 00:00:00+00:00,0,0,6,1
2024-04-03 00:00:00+00:00,0,0,3,2
2024-04-10 00:00:00+00:00,1,1,1,1
2024-04-15 00:00:00+00:00,0,0,1,1
2024-04-17 00:00:00+00:00,0,0,2,2
2024-04-18 00:00:00+00:00,0,0,1,1
2024-04-28 00:00:00+00:00,0,0,17,1
2024-04-29 00:00:00+00:00,0,0,2,1
2024-04-30 00:00:00+00:00,0,0,2,1
2024-05-05 00:00:00+00:00,0,0,2,1
2024-05-06 00:00:00+00:00,0,0,2,1
2024-05-08 00:00:00+00:00,0,0,1,1
2024-05-09 00:00:00+00:00,1,1,6,2
2024-05-14 00:00:00+00:00,0,0,8,3
2024-05-15 00:00:00+00:00,0,0,2,1
2024-05-16 00:00:00+00:00,0,0,2,1
2024-05-17 00:00:00+00:00,0,0,4,3
2024-05-19 00:00:00+00:00,0,0,2,1
2024-05-20 00:00:00+00:00,0,0,1,1
2024-05-21 00:00:00+00:00,0,0,2,1
2024-05-22 00:00:00+00:00,0,0,1,1
2024-05-24 00:00:00+00:00,0,0,17,3
2024-05-28 00:00:00+00:00,0,0,1,1
2024-05-30 00:00:00+00:00,0,0,1,1
2024-06-03 00:00:00+00:00,0,0,1,1
2024-06-04 00:00:00+00:00,0,0,1,1
2024-06-05 00:00:00+00:00,0,0,1,1
2024-06-09 00:00:00+00:00,1,1,0,0
2024-06-13 00:00:00+00:00,1,1,0,0
2024-06-14 00:00:00+00:00,1,1,7,4
2024-06-18 00:00:00+00:00,0,0,2,2
2024-06-21 00:00:00+00:00,0,0,8,1
2024-06-30 00:00:00+00:00,1,1,0,0
2024-07-03 00:00:00+00:00,0,0,2,2
2024-07-04 00:00:00+00:00,0,0,1,1
2024-07-17 00:00:00+00:00,0,0,1,1
2024-07-24 00:00:00+00:00,0,0,1,1
2024-07-25 00:00:00+00:00,0,0,2,2
2024-07-26 00:00:00+00:00,3,1,1,1
2024-07-29 00:00:00+00:00,0,0,5,4
2024-07-30 00:00:00+00:00,0,0,4,1
2024-07-31 00:00:00+00:00,0,0,8,4
2024-08-01 00:00:00+00:00,1,1,5,3
2024-08-02 00:00:00+00:00,4,1,1,1
2024-08-03 00:00:00+00:00,1,1,0,0
2024-08-04 00:00:00+00:00,1,1,0,0
