time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-15 00:00:00+00:00,1,1,0,0
2024-11-18 00:00:00+00:00,0,0,2,1
2024-11-23 00:00:00+00:00,1,1,0,0
2024-11-25 00:00:00+00:00,2,2,5,1
2024-11-26 00:00:00+00:00,2,2,0,0
2024-11-28 00:00:00+00:00,0,0,1,1
2024-11-29 00:00:00+00:00,1,1,0,0
2024-12-06 00:00:00+00:00,1,1,0,0
2024-12-08 00:00:00+00:00,0,0,1,1
2024-12-13 00:00:00+00:00,1,1,0,0
2024-12-20 00:00:00+00:00,1,1,0,0
2024-12-27 00:00:00+00:00,1,1,0,0
2025-01-03 00:00:00+00:00,1,1,0,0
2025-01-08 00:00:00+00:00,0,0,1,1
2025-01-09 00:00:00+00:00,0,0,1,1
2025-01-10 00:00:00+00:00,1,1,0,0
2025-01-17 00:00:00+00:00,1,1,0,0
2025-01-19 00:00:00+00:00,1,1,0,0
2025-01-24 00:00:00+00:00,1,1,0,0
2025-01-31 00:00:00+00:00,1,1,0,0
2025-02-07 00:00:00+00:00,1,1,1,1
2025-02-12 00:00:00+00:00,0,0,2,1
2025-02-13 00:00:00+00:00,1,1,0,0
