time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-04 00:00:00+00:00,0,0,1,1
2023-12-08 00:00:00+00:00,0,0,1,1
2023-12-09 00:00:00+00:00,1,1,0,0
2023-12-14 00:00:00+00:00,1,1,0,0
2023-12-15 00:00:00+00:00,0,0,1,1
2023-12-22 00:00:00+00:00,0,0,24,1
2023-12-25 00:00:00+00:00,0,0,12,1
2023-12-26 00:00:00+00:00,1,1,0,0
2023-12-29 00:00:00+00:00,2,1,0,0
2023-12-30 00:00:00+00:00,1,1,0,0
2024-01-04 00:00:00+00:00,1,1,0,0
2024-01-10 00:00:00+00:00,0,0,15,1
2024-01-13 00:00:00+00:00,1,1,0,0
2024-01-14 00:00:00+00:00,1,1,62,1
2024-01-17 00:00:00+00:00,0,0,119,1
2024-01-19 00:00:00+00:00,0,0,34,1
2024-01-20 00:00:00+00:00,1,1,0,0
2024-01-22 00:00:00+00:00,0,0,1,1
2024-01-24 00:00:00+00:00,0,0,13,1
2024-01-25 00:00:00+00:00,0,0,15,1
2024-01-29 00:00:00+00:00,1,1,56,1
2024-01-30 00:00:00+00:00,0,0,8,3
2024-02-01 00:00:00+00:00,0,0,4,2
2024-02-07 00:00:00+00:00,0,0,5,2
2024-02-08 00:00:00+00:00,0,0,95,2
2024-02-12 00:00:00+00:00,0,0,7,1
2024-02-13 00:00:00+00:00,0,0,15,4
2024-02-16 00:00:00+00:00,0,0,2,1
2024-02-20 00:00:00+00:00,1,1,0,0
2024-03-04 00:00:00+00:00,1,1,0,0
2024-03-05 00:00:00+00:00,0,0,14,1
2024-03-06 00:00:00+00:00,0,0,4,2
2024-03-07 00:00:00+00:00,1,1,10,4
2024-03-09 00:00:00+00:00,1,1,0,0
2024-03-10 00:00:00+00:00,1,1,0,0
2024-03-13 00:00:00+00:00,0,0,19,1
2024-03-28 00:00:00+00:00,2,2,0,0
2024-04-03 00:00:00+00:00,1,1,0,0
2024-04-05 00:00:00+00:00,0,0,3,1
2024-04-22 00:00:00+00:00,0,0,20,2
2024-04-26 00:00:00+00:00,0,0,1,1
2024-04-28 00:00:00+00:00,1,1,0,0
2024-05-08 00:00:00+00:00,0,0,1,1
2024-05-09 00:00:00+00:00,1,1,0,0
2024-05-10 00:00:00+00:00,0,0,1,1
2024-05-14 00:00:00+00:00,0,0,19,2
2024-05-16 00:00:00+00:00,0,0,13,3
2024-05-22 00:00:00+00:00,0,0,1,1
2024-05-24 00:00:00+00:00,0,0,1,1
2024-05-26 00:00:00+00:00,0,0,2,1
2024-05-27 00:00:00+00:00,1,1,0,0
2024-05-31 00:00:00+00:00,1,1,0,0
2024-06-05 00:00:00+00:00,0,0,10,1
2024-06-06 00:00:00+00:00,0,0,2,1
2024-06-09 00:00:00+00:00,1,1,0,0
2024-06-13 00:00:00+00:00,1,1,0,0
2024-06-14 00:00:00+00:00,1,1,0,0
2024-06-18 00:00:00+00:00,0,0,1,1
2024-06-26 00:00:00+00:00,0,0,1,1
2024-06-28 00:00:00+00:00,0,0,18,1
2024-07-02 00:00:00+00:00,0,0,6,1
2024-07-12 00:00:00+00:00,0,0,1,1
2024-07-17 00:00:00+00:00,0,0,1,1
2024-07-23 00:00:00+00:00,0,0,1,1
2024-07-25 00:00:00+00:00,0,0,1,1
2024-07-26 00:00:00+00:00,1,1,0,0
2024-08-02 00:00:00+00:00,4,1,0,0
2024-08-04 00:00:00+00:00,1,1,0,0
2024-08-05 00:00:00+00:00,1,1,0,0
2024-08-07 00:00:00+00:00,1,1,0,0
2024-08-09 00:00:00+00:00,1,1,1,1
2024-08-10 00:00:00+00:00,1,1,0,0
2024-08-11 00:00:00+00:00,1,1,0,0
2024-08-12 00:00:00+00:00,1,1,43,2
2024-08-13 00:00:00+00:00,1,1,1,1
2024-08-14 00:00:00+00:00,2,2,0,0
2024-08-15 00:00:00+00:00,1,1,0,0
2024-08-17 00:00:00+00:00,1,1,0,0
2024-08-18 00:00:00+00:00,0,0,13,1
2024-08-21 00:00:00+00:00,1,1,0,0
2024-08-22 00:00:00+00:00,1,1,55,1
2024-08-24 00:00:00+00:00,1,1,0,0
2024-08-26 00:00:00+00:00,0,0,2,1
2024-08-27 00:00:00+00:00,1,1,0,0
2024-08-28 00:00:00+00:00,1,1,0,0
2024-08-30 00:00:00+00:00,0,0,22,1
2024-09-03 00:00:00+00:00,1,1,0,0
2024-09-04 00:00:00+00:00,2,2,0,0
2024-09-06 00:00:00+00:00,1,1,0,0
2024-09-07 00:00:00+00:00,1,1,0,0
2024-09-08 00:00:00+00:00,1,1,0,0
2024-09-09 00:00:00+00:00,1,1,2,1
2024-09-10 00:00:00+00:00,2,2,1,1
2024-09-11 00:00:00+00:00,1,1,0,0
2024-09-12 00:00:00+00:00,0,0,23,1
2024-09-14 00:00:00+00:00,0,0,1,1
2024-09-16 00:00:00+00:00,0,0,6,1
2024-09-18 00:00:00+00:00,1,1,0,0
2024-09-24 00:00:00+00:00,0,0,13,1
2024-09-25 00:00:00+00:00,1,1,0,0
2024-09-27 00:00:00+00:00,0,0,2,1
2024-10-02 00:00:00+00:00,1,1,0,0
2024-10-03 00:00:00+00:00,0,0,3,1
2024-10-09 00:00:00+00:00,1,1,0,0
2024-10-11 00:00:00+00:00,0,0,10,1
