time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-20 00:00:00+00:00,1,1,0,0
2024-11-25 00:00:00+00:00,3,2,8,1
2024-11-26 00:00:00+00:00,1,1,0,0
2024-12-02 00:00:00+00:00,1,1,1,1
2024-12-09 00:00:00+00:00,1,1,0,0
2024-12-10 00:00:00+00:00,0,0,5,1
2024-12-12 00:00:00+00:00,1,1,0,0
2024-12-16 00:00:00+00:00,1,1,0,0
2024-12-21 00:00:00+00:00,0,0,1,1
2024-12-23 00:00:00+00:00,1,1,0,0
2024-12-30 00:00:00+00:00,1,1,0,0
2025-01-06 00:00:00+00:00,1,1,0,0
2025-01-11 00:00:00+00:00,1,1,0,0
2025-01-13 00:00:00+00:00,1,1,0,0
2025-01-20 00:00:00+00:00,1,1,0,0
2025-01-27 00:00:00+00:00,1,1,0,0
2025-02-03 00:00:00+00:00,1,1,0,0
2025-02-10 00:00:00+00:00,1,1,0,0
2025-02-13 00:00:00+00:00,1,1,0,0
2025-02-17 00:00:00+00:00,1,1,0,0
