time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-04 00:00:00+00:00,27,1,50,3
2025-02-05 00:00:00+00:00,0,0,7,1
2025-02-06 00:00:00+00:00,0,0,19,1
2025-02-10 00:00:00+00:00,0,0,2,1
2025-02-12 00:00:00+00:00,0,0,1,1
2025-02-13 00:00:00+00:00,0,0,11,2
2025-02-14 00:00:00+00:00,0,0,3,1
2025-02-17 00:00:00+00:00,18,10,11,2
2025-02-18 00:00:00+00:00,216,11,46,2
2025-02-20 00:00:00+00:00,1,1,16,3
2025-02-24 00:00:00+00:00,1,1,5,1
2025-02-26 00:00:00+00:00,0,0,1,1
2025-02-27 00:00:00+00:00,65,7,28,4
2025-02-28 00:00:00+00:00,51,3,21,4
2025-03-01 00:00:00+00:00,1,1,13,11
2025-03-02 00:00:00+00:00,1,1,9,5
2025-03-03 00:00:00+00:00,11,3,30,2
2025-03-04 00:00:00+00:00,12,4,16,3
2025-03-05 00:00:00+00:00,214,9,239,5
2025-03-06 00:00:00+00:00,31,5,36,3
2025-03-07 00:00:00+00:00,50,6,51,3
2025-03-08 00:00:00+00:00,2,2,10,1
2025-03-09 00:00:00+00:00,1,1,0,0
2025-03-10 00:00:00+00:00,2,1,22,4
2025-03-11 00:00:00+00:00,33,4,75,3
2025-03-12 00:00:00+00:00,0,0,9,2
2025-03-13 00:00:00+00:00,97,7,103,1
2025-03-14 00:00:00+00:00,0,0,1,1
2025-03-15 00:00:00+00:00,2,2,0,0
2025-03-17 00:00:00+00:00,1,1,11,3
2025-03-18 00:00:00+00:00,0,0,3,2
2025-03-19 00:00:00+00:00,0,0,4,1
2025-03-20 00:00:00+00:00,1,1,1,1
2025-03-21 00:00:00+00:00,1,1,1,1
2025-03-22 00:00:00+00:00,1,1,0,0
2025-03-24 00:00:00+00:00,55,4,77,2
2025-03-25 00:00:00+00:00,0,0,9,1
2025-03-26 00:00:00+00:00,18,1,40,3
2025-03-27 00:00:00+00:00,14,4,6,2
2025-03-29 00:00:00+00:00,2,2,0,0
2025-03-31 00:00:00+00:00,4,4,0,0
2025-04-01 00:00:00+00:00,3,3,1,1
2025-04-03 00:00:00+00:00,0,0,6,1
2025-04-04 00:00:00+00:00,0,0,15,2
2025-04-07 00:00:00+00:00,1,1,2,2
2025-04-09 00:00:00+00:00,0,0,18,2
2025-04-10 00:00:00+00:00,11,3,9,1
2025-04-11 00:00:00+00:00,0,0,3,1
2025-04-14 00:00:00+00:00,0,0,1,1
2025-04-15 00:00:00+00:00,2,2,0,0
2025-04-18 00:00:00+00:00,1,1,0,0
2025-04-20 00:00:00+00:00,1,1,0,0
2025-04-23 00:00:00+00:00,1,1,0,0
2025-04-24 00:00:00+00:00,0,0,2,1
2025-04-25 00:00:00+00:00,0,0,1,1
2025-05-02 00:00:00+00:00,1,1,0,0
2025-05-07 00:00:00+00:00,1,1,0,0
2025-05-10 00:00:00+00:00,1,1,0,0
2025-05-13 00:00:00+00:00,0,0,1,1
2025-05-16 00:00:00+00:00,0,0,6,1
2025-05-17 00:00:00+00:00,1,1,0,0
2025-05-20 00:00:00+00:00,0,0,2,1
2025-05-21 00:00:00+00:00,0,0,3,1
2025-05-22 00:00:00+00:00,0,0,10,2
2025-05-23 00:00:00+00:00,0,0,20,4
2025-05-25 00:00:00+00:00,1,1,0,0
2025-05-26 00:00:00+00:00,0,0,1,1
2025-05-27 00:00:00+00:00,0,0,3,3
2025-05-28 00:00:00+00:00,0,0,5,2
2025-06-01 00:00:00+00:00,1,1,0,0
