url_path,views_total,views_unique
/cicsdev/cics-java-liberty-jaxws/blob/main/blog.md,9,4
/cicsdev/cics-java-liberty-jaxws,8,6
/cicsdev/cics-java-liberty-jaxws/tree/main/com/ibm/cicsdev,8,6
/cicsdev/cics-java-liberty-jaxws/blob/main/com/ibm/cicsdev/ws/MyCICSService.java,7,6
/cicsdev/cics-java-liberty-jaxws/blob/main/README.md,6,2
/cicsdev/cics-java-liberty-jaxws/tree/main/com/ibm/cicsdev/ws,5,5
/cicsdev/cics-java-liberty-jaxws/blob/main/com/ibm/cicsdev/bean/ResponseWrapper.java,3,3
/cicsdev/cics-java-liberty-jaxws/tree/main/com/ibm/cicsdev/bean,3,3
/cicsdev/cics-java-liberty-jaxws/tree/main/graphics,3,3
/cicsdev/cics-java-liberty-jaxws/blob/main/com/ibm/cicsdev/bean/CommareaWrapper.java,2,2
