time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-18 00:00:00+00:00,1,1,0,0
2024-11-23 00:00:00+00:00,1,1,0,0
2024-11-24 00:00:00+00:00,0,0,1,1
2024-11-27 00:00:00+00:00,0,0,5,1
2024-11-29 00:00:00+00:00,1,1,0,0
2024-12-03 00:00:00+00:00,0,0,1,1
2024-12-06 00:00:00+00:00,1,1,0,0
2024-12-13 00:00:00+00:00,1,1,3,1
2024-12-20 00:00:00+00:00,1,1,0,0
2024-12-27 00:00:00+00:00,1,1,0,0
2025-01-03 00:00:00+00:00,1,1,0,0
2025-01-10 00:00:00+00:00,1,1,0,0
2025-01-13 00:00:00+00:00,1,1,0,0
2025-01-17 00:00:00+00:00,1,1,0,0
2025-01-20 00:00:00+00:00,0,0,1,1
2025-01-24 00:00:00+00:00,1,1,0,0
2025-01-27 00:00:00+00:00,0,0,1,1
2025-01-29 00:00:00+00:00,0,0,24,3
2025-01-31 00:00:00+00:00,1,1,0,0
2025-02-03 00:00:00+00:00,1,1,18,2
2025-02-04 00:00:00+00:00,0,0,2,2
2025-02-05 00:00:00+00:00,0,0,1,1
2025-02-21 00:00:00+00:00,0,0,1,1
2025-02-22 00:00:00+00:00,0,0,2,2
2025-02-25 00:00:00+00:00,0,0,1,1
2025-03-01 00:00:00+00:00,0,0,5,1
2025-03-02 00:00:00+00:00,1,1,0,0
2025-03-08 00:00:00+00:00,1,1,0,0
2025-03-20 00:00:00+00:00,2,2,0,0
2025-04-02 00:00:00+00:00,0,0,1,1
2025-04-14 00:00:00+00:00,0,0,1,1
2025-04-20 00:00:00+00:00,1,1,0,0
2025-04-21 00:00:00+00:00,0,0,1,1
2025-04-24 00:00:00+00:00,0,0,1,1
2025-04-25 00:00:00+00:00,0,0,1,1
2025-04-26 00:00:00+00:00,2,2,0,0
2025-04-28 00:00:00+00:00,0,0,1,1
2025-04-30 00:00:00+00:00,1,1,0,0
2025-05-03 00:00:00+00:00,0,0,1,1
2025-05-20 00:00:00+00:00,0,0,1,1
2025-05-21 00:00:00+00:00,0,0,1,1
2025-05-22 00:00:00+00:00,0,0,8,1
