time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-22 00:00:00+00:00,12.0,6.0,47.0,5.0
2025-05-23 00:00:00+00:00,4.0,3.0,31.0,4.0
2025-05-24 00:00:00+00:00,1.0,1.0,,
2025-05-26 00:00:00+00:00,,,14.0,2.0
2025-05-27 00:00:00+00:00,19.0,2.0,34.0,5.0
2025-05-28 00:00:00+00:00,78.0,5.0,143.0,3.0
2025-05-29 00:00:00+00:00,64.0,2.0,74.0,2.0
2025-05-30 00:00:00+00:00,5.0,5.0,11.0,3.0
2025-05-31 00:00:00+00:00,1.0,1.0,,
2025-06-01 00:00:00+00:00,1.0,1.0,1.0,1.0
2025-06-02 00:00:00+00:00,5.0,4.0,19.0,2.0
2025-06-03 00:00:00+00:00,16.0,3.0,25.0,1.0
2025-06-04 00:00:00+00:00,15.0,2.0,14.0,2.0
