url_path,views_total,views_unique
/cicsdev/cics-java-liberty-link,22,10
/cicsdev/cics-java-liberty-link/tree/main/cics-java-liberty-link-app,8,6
/cicsdev/cics-java-liberty-link/blob/main/cics-java-liberty-link-app/src/main/java/com/ibm/cics/server/examples/wlp/link/HelloLiberty.java,7,4
/cicsdev/cics-java-liberty-link/actions,7,1
/cicsdev/cics-java-liberty-link/pulls,6,1
/cicsdev/cics-java-liberty-link/tree/main,5,4
/cicsdev/cics-java-liberty-link/tree/main/cics-java-liberty-link-app/src/main,5,4
/cicsdev/cics-java-liberty-link/tree/main/cics-java-liberty-link-app/src/main/java/com/ibm/cics/server/examples/wlp/link,5,4
/cicsdev/cics-java-liberty-link/tree/main/cics-java-liberty-link-bundle,5,4
/cicsdev/cics-java-liberty-link/pull/14,5,1
