time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-16 00:00:00+00:00,28,3,0,0
2026-06-17 00:00:00+00:00,23,3,0,0
2026-06-18 00:00:00+00:00,26,4,0,0
2026-06-19 00:00:00+00:00,22,2,0,0
2026-06-20 00:00:00+00:00,22,2,3,1
2026-06-21 00:00:00+00:00,23,2,0,0
2026-06-22 00:00:00+00:00,21,1,0,0
2026-06-23 00:00:00+00:00,23,3,2,2
2026-06-24 00:00:00+00:00,22,2,0,0
2026-06-25 00:00:00+00:00,23,1,1,1
2026-06-26 00:00:00+00:00,21,1,2,2
2026-06-27 00:00:00+00:00,21,1,1,1
2026-06-28 00:00:00+00:00,21,1,0,0
2026-06-29 00:00:00+00:00,22,2,3,2
