time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-15 00:00:00+00:00,0,0,58,2
2024-11-16 00:00:00+00:00,0,0,2,1
2024-11-19 00:00:00+00:00,4,1,14,1
2024-11-20 00:00:00+00:00,0,0,8,2
2024-11-21 00:00:00+00:00,0,0,9,1
2024-11-22 00:00:00+00:00,1,1,45,6
2024-11-23 00:00:00+00:00,0,0,1,1
2024-11-25 00:00:00+00:00,4,1,8,4
2024-11-26 00:00:00+00:00,0,0,2,2
2024-11-27 00:00:00+00:00,1,1,22,4
2024-11-28 00:00:00+00:00,1,1,17,4
2024-11-29 00:00:00+00:00,0,0,2,2
2024-12-02 00:00:00+00:00,0,0,7,2
2024-12-03 00:00:00+00:00,6,6,2,2
2024-12-04 00:00:00+00:00,2,1,12,4
2024-12-05 00:00:00+00:00,5,2,38,5
2024-12-06 00:00:00+00:00,2,2,23,2
2024-12-07 00:00:00+00:00,0,0,1,1
2024-12-09 00:00:00+00:00,2,2,4,2
2024-12-11 00:00:00+00:00,4,3,20,1
2024-12-12 00:00:00+00:00,2,2,1,1
2024-12-13 00:00:00+00:00,0,0,5,3
2024-12-14 00:00:00+00:00,0,0,3,1
2024-12-16 00:00:00+00:00,40,5,89,6
2024-12-17 00:00:00+00:00,30,1,22,3
2024-12-18 00:00:00+00:00,9,2,21,1
2024-12-19 00:00:00+00:00,28,2,75,4
2024-12-20 00:00:00+00:00,8,1,22,5
2024-12-21 00:00:00+00:00,9,2,2,1
2024-12-22 00:00:00+00:00,9,2,0,0
2024-12-23 00:00:00+00:00,8,1,2,1
2024-12-24 00:00:00+00:00,26,2,24,5
2024-12-25 00:00:00+00:00,8,1,0,0
2024-12-26 00:00:00+00:00,9,1,0,0
2024-12-27 00:00:00+00:00,25,1,4,1
2024-12-28 00:00:00+00:00,8,1,0,0
2024-12-29 00:00:00+00:00,8,1,0,0
2024-12-30 00:00:00+00:00,8,1,13,1
2024-12-31 00:00:00+00:00,8,1,0,0
2025-01-01 00:00:00+00:00,8,1,0,0
2025-01-02 00:00:00+00:00,9,1,2,1
2025-01-03 00:00:00+00:00,8,1,1,1
2025-01-04 00:00:00+00:00,8,1,1,1
2025-01-05 00:00:00+00:00,8,1,7,2
2025-01-06 00:00:00+00:00,28,3,30,6
2025-01-07 00:00:00+00:00,31,2,10,2
2025-01-08 00:00:00+00:00,12,1,5,5
2025-01-09 00:00:00+00:00,37,2,26,3
2025-01-10 00:00:00+00:00,8,1,0,0
2025-01-11 00:00:00+00:00,9,2,0,0
2025-01-12 00:00:00+00:00,8,1,0,0
2025-01-13 00:00:00+00:00,9,2,0,0
2025-01-14 00:00:00+00:00,12,1,7,3
2025-01-15 00:00:00+00:00,8,1,1,1
2025-01-16 00:00:00+00:00,9,1,6,1
2025-01-17 00:00:00+00:00,9,2,11,2
2025-01-18 00:00:00+00:00,8,1,0,0
2025-01-19 00:00:00+00:00,8,1,0,0
2025-01-20 00:00:00+00:00,10,1,44,4
2025-01-21 00:00:00+00:00,14,1,3,1
2025-01-22 00:00:00+00:00,8,1,8,1
2025-01-23 00:00:00+00:00,9,1,2,1
2025-01-24 00:00:00+00:00,8,1,34,4
2025-01-25 00:00:00+00:00,8,1,0,0
2025-01-26 00:00:00+00:00,8,1,0,0
2025-01-27 00:00:00+00:00,8,1,3,3
2025-01-28 00:00:00+00:00,8,1,0,0
2025-01-29 00:00:00+00:00,8,1,5,1
2025-01-30 00:00:00+00:00,10,2,21,4
2025-01-31 00:00:00+00:00,39,2,47,3
2025-02-01 00:00:00+00:00,8,1,1,1
2025-02-02 00:00:00+00:00,8,1,0,0
2025-02-03 00:00:00+00:00,9,2,4,2
2025-02-04 00:00:00+00:00,13,2,31,4
2025-02-05 00:00:00+00:00,34,7,115,9
2025-02-06 00:00:00+00:00,11,2,41,4
2025-02-07 00:00:00+00:00,9,1,50,6
2025-02-08 00:00:00+00:00,10,2,0,0
2025-02-09 00:00:00+00:00,9,1,6,1
2025-02-10 00:00:00+00:00,9,1,4,1
2025-02-11 00:00:00+00:00,10,2,0,0
2025-02-12 00:00:00+00:00,9,1,5,1
2025-02-13 00:00:00+00:00,11,2,5,4
2025-02-14 00:00:00+00:00,11,3,11,1
2025-02-15 00:00:00+00:00,9,1,0,0
2025-02-16 00:00:00+00:00,9,1,0,0
2025-02-17 00:00:00+00:00,12,4,2,2
2025-02-18 00:00:00+00:00,12,3,0,0
2025-02-19 00:00:00+00:00,17,7,3,3
2025-02-20 00:00:00+00:00,12,3,6,3
2025-02-21 00:00:00+00:00,10,2,5,1
2025-02-22 00:00:00+00:00,10,2,0,0
2025-02-23 00:00:00+00:00,9,1,0,0
2025-02-24 00:00:00+00:00,9,1,8,2
2025-02-25 00:00:00+00:00,38,10,48,6
2025-02-26 00:00:00+00:00,9,1,2,2
2025-02-27 00:00:00+00:00,12,3,0,0
2025-02-28 00:00:00+00:00,11,3,10,2
2025-03-01 00:00:00+00:00,9,1,7,1
2025-03-02 00:00:00+00:00,8,1,0,0
2025-03-03 00:00:00+00:00,11,3,20,3
2025-03-04 00:00:00+00:00,23,5,6,2
2025-03-05 00:00:00+00:00,10,2,7,2
2025-03-06 00:00:00+00:00,177,11,238,4
2025-03-07 00:00:00+00:00,10,2,5,2
2025-03-08 00:00:00+00:00,10,2,0,0
2025-03-09 00:00:00+00:00,9,1,0,0
2025-03-10 00:00:00+00:00,9,1,11,3
2025-03-11 00:00:00+00:00,10,2,1,1
2025-03-12 00:00:00+00:00,9,1,0,0
2025-03-13 00:00:00+00:00,10,1,3,2
2025-03-14 00:00:00+00:00,9,1,0,0
2025-03-15 00:00:00+00:00,9,1,1,1
2025-03-16 00:00:00+00:00,9,1,0,0
2025-03-17 00:00:00+00:00,10,2,9,3
2025-03-18 00:00:00+00:00,10,2,3,1
2025-03-19 00:00:00+00:00,10,2,9,2
2025-03-20 00:00:00+00:00,10,1,1,1
2025-03-21 00:00:00+00:00,9,1,0,0
2025-03-22 00:00:00+00:00,9,1,1,1
2025-03-23 00:00:00+00:00,9,1,0,0
2025-03-24 00:00:00+00:00,9,1,4,4
2025-03-25 00:00:00+00:00,11,2,1,1
2025-03-26 00:00:00+00:00,9,1,0,0
2025-03-27 00:00:00+00:00,10,1,1,1
2025-03-28 00:00:00+00:00,9,1,1,1
2025-03-29 00:00:00+00:00,9,1,0,0
2025-03-30 00:00:00+00:00,9,1,0,0
2025-03-31 00:00:00+00:00,9,1,24,3
2025-04-01 00:00:00+00:00,9,1,1,1
2025-04-02 00:00:00+00:00,10,2,0,0
2025-04-03 00:00:00+00:00,11,2,6,2
2025-04-04 00:00:00+00:00,9,1,2,2
2025-04-05 00:00:00+00:00,9,1,0,0
2025-04-06 00:00:00+00:00,9,1,0,0
2025-04-07 00:00:00+00:00,9,1,5,1
2025-04-08 00:00:00+00:00,10,2,0,0
2025-04-09 00:00:00+00:00,11,3,0,0
2025-04-10 00:00:00+00:00,10,1,1,1
2025-04-11 00:00:00+00:00,9,1,1,1
2025-04-12 00:00:00+00:00,9,1,1,1
2025-04-13 00:00:00+00:00,9,1,0,0
2025-04-14 00:00:00+00:00,9,1,41,2
2025-04-15 00:00:00+00:00,10,2,2,1
2025-04-16 00:00:00+00:00,13,1,1,1
2025-04-17 00:00:00+00:00,10,1,2,1
2025-04-18 00:00:00+00:00,9,1,2,2
2025-04-19 00:00:00+00:00,11,3,1,1
2025-04-20 00:00:00+00:00,9,1,0,0
2025-04-21 00:00:00+00:00,9,1,0,0
2025-04-22 00:00:00+00:00,9,1,11,1
2025-04-23 00:00:00+00:00,10,2,0,0
2025-04-24 00:00:00+00:00,13,2,40,5
2025-04-25 00:00:00+00:00,10,2,48,5
2025-04-26 00:00:00+00:00,9,1,0,0
2025-04-27 00:00:00+00:00,9,1,0,0
2025-04-28 00:00:00+00:00,57,11,82,5
2025-04-29 00:00:00+00:00,17,6,5,2
2025-04-30 00:00:00+00:00,12,3,18,4
2025-05-01 00:00:00+00:00,11,1,0,0
2025-05-02 00:00:00+00:00,9,1,14,4
2025-05-03 00:00:00+00:00,12,4,0,0
2025-05-04 00:00:00+00:00,9,1,0,0
2025-05-05 00:00:00+00:00,9,1,4,3
2025-05-06 00:00:00+00:00,9,1,6,5
2025-05-07 00:00:00+00:00,10,2,14,5
2025-05-08 00:00:00+00:00,11,1,7,2
2025-05-09 00:00:00+00:00,38,4,12,3
2025-05-10 00:00:00+00:00,10,2,0,0
2025-05-11 00:00:00+00:00,9,1,0,0
2025-05-12 00:00:00+00:00,9,1,7,6
2025-05-13 00:00:00+00:00,9,1,12,3
2025-05-14 00:00:00+00:00,11,3,0,0
2025-05-15 00:00:00+00:00,11,1,19,1
2025-05-16 00:00:00+00:00,9,1,1,1
2025-05-17 00:00:00+00:00,10,2,0,0
2025-05-18 00:00:00+00:00,9,1,0,0
2025-05-19 00:00:00+00:00,10,2,42,3
2025-05-20 00:00:00+00:00,35,5,10,4
