time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-23 00:00:00+00:00,1,1,,
2024-08-24 00:00:00+00:00,1,1,,
2024-08-26 00:00:00+00:00,1,1,,
2024-08-27 00:00:00+00:00,1,1,31.0,1.0
2024-08-28 00:00:00+00:00,1,1,,
2024-08-29 00:00:00+00:00,1,1,1.0,1.0
2024-08-30 00:00:00+00:00,1,1,,
2024-08-31 00:00:00+00:00,1,1,,
2024-09-01 00:00:00+00:00,1,1,,
2024-09-02 00:00:00+00:00,1,1,,
2024-09-03 00:00:00+00:00,1,1,,
2024-09-04 00:00:00+00:00,1,1,13.0,1.0
2024-09-05 00:00:00+00:00,5,5,,
2024-09-06 00:00:00+00:00,1,1,,
