time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-15 00:00:00+00:00,1,1,0,0
2024-11-19 00:00:00+00:00,0,0,1,1
2024-11-20 00:00:00+00:00,0,0,1,1
2024-11-23 00:00:00+00:00,1,1,0,0
2024-11-25 00:00:00+00:00,1,1,1,1
2024-11-28 00:00:00+00:00,0,0,1,1
2024-11-29 00:00:00+00:00,1,1,0,0
2024-12-02 00:00:00+00:00,0,0,3,2
2024-12-03 00:00:00+00:00,0,0,1,1
2024-12-04 00:00:00+00:00,0,0,1,1
2024-12-05 00:00:00+00:00,0,0,6,3
2024-12-06 00:00:00+00:00,1,1,0,0
2024-12-07 00:00:00+00:00,0,0,1,1
2024-12-08 00:00:00+00:00,0,0,3,1
2024-12-09 00:00:00+00:00,1,1,4,1
2024-12-10 00:00:00+00:00,0,0,1,1
2024-12-11 00:00:00+00:00,0,0,5,1
2024-12-12 00:00:00+00:00,0,0,7,4
2024-12-13 00:00:00+00:00,1,1,0,0
2024-12-15 00:00:00+00:00,0,0,5,1
2024-12-16 00:00:00+00:00,0,0,41,2
2024-12-17 00:00:00+00:00,0,0,12,2
2024-12-19 00:00:00+00:00,0,0,7,2
2024-12-20 00:00:00+00:00,1,1,0,0
2024-12-26 00:00:00+00:00,0,0,1,1
2024-12-27 00:00:00+00:00,1,1,0,0
2024-12-30 00:00:00+00:00,0,0,1,1
2025-01-03 00:00:00+00:00,1,1,0,0
2025-01-08 00:00:00+00:00,0,0,3,1
2025-01-10 00:00:00+00:00,1,1,0,0
2025-01-11 00:00:00+00:00,1,1,0,0
2025-01-13 00:00:00+00:00,0,0,1,1
2025-01-14 00:00:00+00:00,0,0,7,3
2025-01-15 00:00:00+00:00,0,0,2,1
2025-01-17 00:00:00+00:00,1,1,1,1
2025-01-22 00:00:00+00:00,0,0,2,2
2025-01-24 00:00:00+00:00,1,1,1,1
2025-01-28 00:00:00+00:00,0,0,1,1
2025-01-30 00:00:00+00:00,0,0,10,2
2025-01-31 00:00:00+00:00,1,1,0,0
2025-02-03 00:00:00+00:00,0,0,1,1
2025-02-06 00:00:00+00:00,0,0,1,1
2025-02-10 00:00:00+00:00,0,0,1,1
2025-02-11 00:00:00+00:00,1,1,0,0
2025-02-12 00:00:00+00:00,0,0,2,1
2025-02-13 00:00:00+00:00,0,0,1,1
2025-02-16 00:00:00+00:00,1,1,2,1
2025-02-19 00:00:00+00:00,1,1,0,0
2025-02-20 00:00:00+00:00,0,0,1,1
2025-02-25 00:00:00+00:00,1,1,0,0
2025-02-27 00:00:00+00:00,2,2,0,0
2025-02-28 00:00:00+00:00,1,1,1,1
2025-03-02 00:00:00+00:00,1,1,0,0
2025-03-04 00:00:00+00:00,1,1,0,0
2025-03-07 00:00:00+00:00,1,1,0,0
2025-03-09 00:00:00+00:00,0,0,1,1
2025-03-11 00:00:00+00:00,0,0,2,2
