time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-12 00:00:00+00:00,2,2,2.0,2.0
2025-11-13 00:00:00+00:00,4,1,5.0,2.0
2025-11-14 00:00:00+00:00,14,1,1.0,1.0
2025-11-15 00:00:00+00:00,9,3,1.0,1.0
2025-11-17 00:00:00+00:00,1,1,11.0,2.0
2025-11-18 00:00:00+00:00,25,12,38.0,3.0
2025-11-19 00:00:00+00:00,84,18,102.0,1.0
2025-11-20 00:00:00+00:00,12,4,1.0,1.0
2025-11-21 00:00:00+00:00,9,2,6.0,3.0
2025-11-22 00:00:00+00:00,12,5,5.0,4.0
2025-11-23 00:00:00+00:00,8,1,,
2025-11-24 00:00:00+00:00,8,1,,
2025-11-25 00:00:00+00:00,9,2,8.0,1.0
