time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-15 00:00:00+00:00,1,1,0,0
2024-11-19 00:00:00+00:00,0,0,10,2
2024-11-23 00:00:00+00:00,1,1,0,0
2024-11-25 00:00:00+00:00,0,0,3,1
2024-11-26 00:00:00+00:00,0,0,1,1
2024-11-29 00:00:00+00:00,1,1,0,0
2024-12-04 00:00:00+00:00,0,0,2,2
2024-12-05 00:00:00+00:00,0,0,23,2
2024-12-06 00:00:00+00:00,1,1,0,0
2024-12-10 00:00:00+00:00,0,0,4,1
2024-12-13 00:00:00+00:00,1,1,0,0
2024-12-16 00:00:00+00:00,0,0,4,1
2024-12-17 00:00:00+00:00,0,0,49,1
2024-12-18 00:00:00+00:00,0,0,36,1
2024-12-19 00:00:00+00:00,0,0,31,1
2024-12-20 00:00:00+00:00,4,4,0,0
2024-12-23 00:00:00+00:00,0,0,4,2
2024-12-26 00:00:00+00:00,0,0,2,2
2024-12-27 00:00:00+00:00,1,1,0,0
2025-01-01 00:00:00+00:00,0,0,1,1
2025-01-03 00:00:00+00:00,1,1,0,0
2025-01-06 00:00:00+00:00,1,1,0,0
2025-01-09 00:00:00+00:00,2,2,30,3
2025-01-10 00:00:00+00:00,1,1,0,0
2025-01-13 00:00:00+00:00,0,0,1,1
2025-01-14 00:00:00+00:00,0,0,4,1
2025-01-15 00:00:00+00:00,1,1,0,0
2025-01-16 00:00:00+00:00,0,0,1,1
2025-01-17 00:00:00+00:00,2,2,5,3
2025-01-21 00:00:00+00:00,0,0,6,1
2025-01-22 00:00:00+00:00,0,0,24,3
2025-01-23 00:00:00+00:00,0,0,1,1
2025-01-24 00:00:00+00:00,1,1,4,3
2025-01-30 00:00:00+00:00,0,0,1,1
2025-01-31 00:00:00+00:00,1,1,0,0
2025-02-03 00:00:00+00:00,1,1,0,0
2025-02-05 00:00:00+00:00,1,1,0,0
2025-02-07 00:00:00+00:00,1,1,0,0
2025-02-11 00:00:00+00:00,1,1,2,2
2025-02-12 00:00:00+00:00,0,0,1,1
2025-02-13 00:00:00+00:00,0,0,2,2
2025-02-14 00:00:00+00:00,1,1,12,3
2025-02-18 00:00:00+00:00,1,1,4,1
