time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-07 00:00:00+00:00,0,0,1,1
2023-12-09 00:00:00+00:00,1,1,0,0
2023-12-11 00:00:00+00:00,0,0,57,1
2023-12-12 00:00:00+00:00,0,0,5,1
2023-12-13 00:00:00+00:00,1,1,1,1
2023-12-16 00:00:00+00:00,0,0,1,1
2023-12-18 00:00:00+00:00,1,1,11,1
2023-12-19 00:00:00+00:00,0,0,1,1
2023-12-20 00:00:00+00:00,0,0,1,1
2023-12-23 00:00:00+00:00,1,1,0,0
2023-12-24 00:00:00+00:00,0,0,12,2
2023-12-25 00:00:00+00:00,0,0,16,3
2023-12-26 00:00:00+00:00,0,0,19,1
2023-12-27 00:00:00+00:00,2,2,41,4
2023-12-28 00:00:00+00:00,1,1,33,2
2023-12-29 00:00:00+00:00,0,0,2,1
2023-12-30 00:00:00+00:00,2,1,0,0
2024-01-01 00:00:00+00:00,1,1,17,1
2024-01-02 00:00:00+00:00,0,0,10,1
2024-01-03 00:00:00+00:00,0,0,1,1
2024-01-04 00:00:00+00:00,0,0,11,1
2024-01-05 00:00:00+00:00,0,0,4,1
2024-01-09 00:00:00+00:00,0,0,24,1
2024-01-10 00:00:00+00:00,0,0,14,4
2024-01-11 00:00:00+00:00,1,1,1,1
2024-01-12 00:00:00+00:00,1,1,29,2
2024-01-13 00:00:00+00:00,1,1,0,0
2024-01-15 00:00:00+00:00,0,0,1,1
2024-01-26 00:00:00+00:00,0,0,1,1
2024-01-29 00:00:00+00:00,1,1,1,1
2024-01-31 00:00:00+00:00,0,0,66,1
2024-02-06 00:00:00+00:00,0,0,3,1
2024-02-12 00:00:00+00:00,2,1,4,2
2024-02-13 00:00:00+00:00,0,0,4,1
2024-02-14 00:00:00+00:00,0,0,3,2
2024-02-16 00:00:00+00:00,1,1,0,0
2024-02-18 00:00:00+00:00,1,1,6,1
2024-02-21 00:00:00+00:00,0,0,2,1
2024-02-22 00:00:00+00:00,0,0,2,1
2024-02-27 00:00:00+00:00,1,1,0,0
2024-02-29 00:00:00+00:00,1,1,0,0
2024-03-04 00:00:00+00:00,1,1,1,1
2024-03-08 00:00:00+00:00,1,1,1,1
2024-03-09 00:00:00+00:00,0,0,36,1
2024-03-11 00:00:00+00:00,1,1,19,3
2024-03-12 00:00:00+00:00,1,1,0,0
2024-03-13 00:00:00+00:00,0,0,2,1
2024-03-24 00:00:00+00:00,1,1,0,0
2024-03-28 00:00:00+00:00,1,1,0,0
2024-03-29 00:00:00+00:00,0,0,7,1
2024-03-31 00:00:00+00:00,0,0,1,1
2024-04-02 00:00:00+00:00,0,0,1,1
2024-04-03 00:00:00+00:00,0,0,1,1
2024-04-04 00:00:00+00:00,0,0,1,1
2024-04-05 00:00:00+00:00,1,1,0,0
2024-04-12 00:00:00+00:00,0,0,2,1
2024-04-23 00:00:00+00:00,1,1,0,0
2024-05-02 00:00:00+00:00,1,1,0,0
2024-05-06 00:00:00+00:00,1,1,0,0
2024-05-09 00:00:00+00:00,1,1,0,0
2024-05-13 00:00:00+00:00,0,0,1,1
2024-05-15 00:00:00+00:00,0,0,1,1
2024-05-17 00:00:00+00:00,0,0,4,1
2024-05-31 00:00:00+00:00,1,1,0,0
2024-06-03 00:00:00+00:00,0,0,3,1
2024-06-04 00:00:00+00:00,1,1,1,1
2024-06-06 00:00:00+00:00,0,0,23,1
2024-06-09 00:00:00+00:00,1,1,0,0
2024-06-10 00:00:00+00:00,0,0,1,1
2024-06-13 00:00:00+00:00,1,1,0,0
2024-06-19 00:00:00+00:00,0,0,1,1
2024-06-23 00:00:00+00:00,0,0,1,1
2024-06-24 00:00:00+00:00,2,1,0,0
2024-06-25 00:00:00+00:00,4,1,1,1
2024-06-26 00:00:00+00:00,1,1,0,0
2024-06-30 00:00:00+00:00,3,1,0,0
2024-07-01 00:00:00+00:00,2,2,1,1
2024-07-02 00:00:00+00:00,0,0,1,1
2024-07-16 00:00:00+00:00,0,0,9,2
2024-07-18 00:00:00+00:00,0,0,24,2
2024-07-19 00:00:00+00:00,9,1,0,0
2024-07-21 00:00:00+00:00,0,0,1,1
2024-07-26 00:00:00+00:00,3,1,0,0
2024-07-30 00:00:00+00:00,0,0,1,1
2024-08-02 00:00:00+00:00,4,1,0,0
2024-08-05 00:00:00+00:00,0,0,1,1
2024-08-06 00:00:00+00:00,1,1,0,0
2024-08-07 00:00:00+00:00,1,1,1,1
2024-08-08 00:00:00+00:00,2,2,4,1
2024-08-09 00:00:00+00:00,1,1,21,1
2024-08-11 00:00:00+00:00,1,1,0,0
2024-08-13 00:00:00+00:00,1,1,1,1
2024-08-14 00:00:00+00:00,1,1,4,2
2024-08-15 00:00:00+00:00,2,2,1,1
2024-08-16 00:00:00+00:00,1,1,0,0
2024-08-18 00:00:00+00:00,1,1,0,0
2024-08-19 00:00:00+00:00,1,1,0,0
2024-08-20 00:00:00+00:00,1,1,0,0
2024-08-21 00:00:00+00:00,1,1,0,0
2024-08-22 00:00:00+00:00,2,2,0,0
2024-08-24 00:00:00+00:00,1,1,2,1
2024-08-26 00:00:00+00:00,1,1,2,1
2024-08-27 00:00:00+00:00,1,1,1,1
2024-08-28 00:00:00+00:00,1,1,0,0
2024-08-29 00:00:00+00:00,2,2,0,0
2024-08-31 00:00:00+00:00,1,1,0,0
2024-09-01 00:00:00+00:00,1,1,0,0
2024-09-02 00:00:00+00:00,1,1,0,0
2024-09-03 00:00:00+00:00,1,1,0,0
2024-09-04 00:00:00+00:00,1,1,0,0
2024-09-05 00:00:00+00:00,1,1,0,0
2024-09-08 00:00:00+00:00,1,1,0,0
2024-09-09 00:00:00+00:00,1,1,0,0
2024-09-10 00:00:00+00:00,2,2,0,0
2024-09-12 00:00:00+00:00,1,1,2,1
2024-09-13 00:00:00+00:00,0,0,1,1
2024-09-16 00:00:00+00:00,0,0,1,1
2024-09-17 00:00:00+00:00,0,0,1,1
2024-09-19 00:00:00+00:00,1,1,0,0
2024-09-25 00:00:00+00:00,1,1,19,1
2024-09-26 00:00:00+00:00,1,1,0,0
2024-09-27 00:00:00+00:00,1,1,0,0
2024-10-02 00:00:00+00:00,0,0,1,1
2024-10-03 00:00:00+00:00,2,2,0,0
2024-10-04 00:00:00+00:00,1,1,0,0
2024-10-07 00:00:00+00:00,0,0,4,2
2024-10-10 00:00:00+00:00,1,1,1,1
2024-10-11 00:00:00+00:00,0,0,2,1
2024-10-13 00:00:00+00:00,1,1,0,0
2024-10-14 00:00:00+00:00,1,1,28,4
