time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-07 00:00:00+00:00,3,3,9.0,1.0
2025-09-08 00:00:00+00:00,12,2,43.0,3.0
2025-09-09 00:00:00+00:00,50,9,38.0,4.0
2025-09-10 00:00:00+00:00,32,3,22.0,4.0
2025-09-11 00:00:00+00:00,10,2,,
2025-09-12 00:00:00+00:00,10,2,3.0,2.0
2025-09-13 00:00:00+00:00,10,2,16.0,3.0
2025-09-14 00:00:00+00:00,9,1,1.0,1.0
2025-09-15 00:00:00+00:00,10,2,11.0,1.0
2025-09-16 00:00:00+00:00,12,2,,
2025-09-17 00:00:00+00:00,10,2,2.0,2.0
2025-09-18 00:00:00+00:00,9,1,1.0,1.0
2025-09-19 00:00:00+00:00,12,3,,
2025-09-20 00:00:00+00:00,9,1,,
