time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-07 00:00:00+00:00,1,1,7,1
2023-12-08 00:00:00+00:00,0,0,2,1
2023-12-09 00:00:00+00:00,1,1,0,0
2023-12-12 00:00:00+00:00,1,1,59,1
2023-12-14 00:00:00+00:00,1,1,0,0
2023-12-18 00:00:00+00:00,0,0,1,1
2023-12-19 00:00:00+00:00,0,0,17,1
2023-12-25 00:00:00+00:00,0,0,4,2
2023-12-27 00:00:00+00:00,1,1,1,1
2023-12-29 00:00:00+00:00,1,1,1,1
2023-12-30 00:00:00+00:00,2,1,0,0
2024-01-01 00:00:00+00:00,0,0,21,1
2024-01-02 00:00:00+00:00,0,0,2,1
2024-01-03 00:00:00+00:00,0,0,15,1
2024-01-04 00:00:00+00:00,1,1,0,0
2024-01-10 00:00:00+00:00,0,0,5,3
2024-01-11 00:00:00+00:00,1,1,1,1
2024-01-12 00:00:00+00:00,1,1,29,2
2024-01-13 00:00:00+00:00,1,1,0,0
2024-01-17 00:00:00+00:00,1,1,4,1
2024-01-18 00:00:00+00:00,0,0,1,1
2024-01-22 00:00:00+00:00,1,1,0,0
2024-01-24 00:00:00+00:00,1,1,0,0
2024-01-25 00:00:00+00:00,0,0,10,2
2024-01-29 00:00:00+00:00,2,1,0,0
2024-02-04 00:00:00+00:00,1,1,0,0
2024-02-07 00:00:00+00:00,0,0,10,1
2024-02-08 00:00:00+00:00,0,0,1,1
2024-02-11 00:00:00+00:00,0,0,24,2
2024-02-14 00:00:00+00:00,0,0,14,2
2024-02-16 00:00:00+00:00,0,0,1,1
2024-02-17 00:00:00+00:00,0,0,37,1
2024-02-19 00:00:00+00:00,1,1,0,0
2024-02-21 00:00:00+00:00,0,0,9,1
2024-02-22 00:00:00+00:00,0,0,64,1
2024-02-27 00:00:00+00:00,1,1,1,1
2024-02-28 00:00:00+00:00,0,0,1,1
2024-02-29 00:00:00+00:00,0,0,20,2
2024-03-02 00:00:00+00:00,1,1,0,0
2024-03-03 00:00:00+00:00,0,0,1,1
2024-03-04 00:00:00+00:00,1,1,1,1
2024-03-05 00:00:00+00:00,0,0,1,1
2024-03-06 00:00:00+00:00,0,0,3,2
2024-03-08 00:00:00+00:00,0,0,1,1
2024-03-09 00:00:00+00:00,1,1,0,0
2024-03-11 00:00:00+00:00,0,0,8,1
2024-03-13 00:00:00+00:00,1,1,3,1
2024-03-18 00:00:00+00:00,0,0,7,2
2024-03-19 00:00:00+00:00,0,0,9,2
2024-03-20 00:00:00+00:00,0,0,10,3
2024-03-21 00:00:00+00:00,2,1,20,1
2024-03-22 00:00:00+00:00,1,1,0,0
2024-03-23 00:00:00+00:00,0,0,17,1
2024-03-24 00:00:00+00:00,1,1,0,0
2024-03-25 00:00:00+00:00,0,0,1,1
2024-03-28 00:00:00+00:00,1,1,0,0
2024-03-29 00:00:00+00:00,0,0,39,2
2024-04-01 00:00:00+00:00,0,0,3,1
2024-04-02 00:00:00+00:00,0,0,15,3
2024-04-03 00:00:00+00:00,0,0,3,2
2024-04-04 00:00:00+00:00,0,0,4,1
2024-04-05 00:00:00+00:00,0,0,39,1
2024-04-15 00:00:00+00:00,0,0,20,2
2024-04-17 00:00:00+00:00,0,0,7,1
2024-04-19 00:00:00+00:00,1,1,0,0
2024-04-22 00:00:00+00:00,0,0,1,1
2024-04-23 00:00:00+00:00,1,1,0,0
2024-04-29 00:00:00+00:00,0,0,2,2
2024-05-02 00:00:00+00:00,2,2,55,6
2024-05-03 00:00:00+00:00,0,0,1,1
2024-05-06 00:00:00+00:00,2,2,1,1
2024-05-08 00:00:00+00:00,0,0,2,2
2024-05-09 00:00:00+00:00,1,1,0,0
2024-05-16 00:00:00+00:00,5,5,40,3
2024-05-17 00:00:00+00:00,4,4,1,1
2024-05-22 00:00:00+00:00,0,0,6,1
2024-05-23 00:00:00+00:00,1,1,15,3
2024-05-28 00:00:00+00:00,0,0,1,1
2024-05-31 00:00:00+00:00,0,0,1,1
2024-06-01 00:00:00+00:00,0,0,7,1
2024-06-03 00:00:00+00:00,1,1,0,0
2024-06-09 00:00:00+00:00,1,1,0,0
2024-06-11 00:00:00+00:00,0,0,16,2
2024-06-13 00:00:00+00:00,1,1,0,0
2024-06-14 00:00:00+00:00,1,1,13,2
2024-06-16 00:00:00+00:00,0,0,1,1
2024-06-17 00:00:00+00:00,0,0,2,1
2024-06-18 00:00:00+00:00,1,1,3,3
2024-06-19 00:00:00+00:00,0,0,1,1
2024-06-21 00:00:00+00:00,0,0,14,1
2024-06-25 00:00:00+00:00,0,0,4,4
2024-06-26 00:00:00+00:00,0,0,30,2
2024-06-27 00:00:00+00:00,0,0,1,1
2024-06-30 00:00:00+00:00,0,0,16,1
2024-07-01 00:00:00+00:00,1,1,8,1
2024-07-02 00:00:00+00:00,0,0,2,1
2024-07-03 00:00:00+00:00,0,0,2,1
2024-07-09 00:00:00+00:00,0,0,3,1
2024-07-11 00:00:00+00:00,1,1,0,0
2024-07-16 00:00:00+00:00,0,0,1,1
2024-07-17 00:00:00+00:00,1,1,0,0
2024-07-19 00:00:00+00:00,1,1,17,1
2024-07-22 00:00:00+00:00,0,0,17,2
2024-07-23 00:00:00+00:00,0,0,13,5
2024-07-24 00:00:00+00:00,0,0,4,1
2024-07-25 00:00:00+00:00,0,0,1,1
2024-07-26 00:00:00+00:00,3,1,1,1
2024-07-27 00:00:00+00:00,1,1,0,0
2024-07-30 00:00:00+00:00,0,0,8,1
2024-07-31 00:00:00+00:00,0,0,1,1
2024-08-01 00:00:00+00:00,1,1,0,0
2024-08-02 00:00:00+00:00,2,1,0,0
2024-08-03 00:00:00+00:00,1,1,1,1
2024-08-04 00:00:00+00:00,1,1,0,0
2024-08-05 00:00:00+00:00,0,0,6,1
2024-08-06 00:00:00+00:00,1,1,11,1
2024-08-07 00:00:00+00:00,2,2,0,0
2024-08-08 00:00:00+00:00,1,1,0,0
2024-08-09 00:00:00+00:00,1,1,0,0
2024-08-10 00:00:00+00:00,1,1,2,2
