time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-24 00:00:00+00:00,0,0,3,2
2024-11-25 00:00:00+00:00,0,0,1,1
2024-11-26 00:00:00+00:00,2,2,4,2
2024-11-27 00:00:00+00:00,1,1,18,2
2024-11-28 00:00:00+00:00,1,1,10,2
2024-11-29 00:00:00+00:00,1,1,2,1
2024-12-02 00:00:00+00:00,2,2,1,1
2024-12-03 00:00:00+00:00,0,0,2,1
2024-12-04 00:00:00+00:00,1,1,2,1
2024-12-05 00:00:00+00:00,3,2,10,3
2024-12-06 00:00:00+00:00,0,0,2,2
2024-12-09 00:00:00+00:00,0,0,9,1
2024-12-10 00:00:00+00:00,7,3,52,3
2024-12-11 00:00:00+00:00,6,5,6,1
2024-12-12 00:00:00+00:00,1,1,0,0
2024-12-16 00:00:00+00:00,0,0,1,1
2024-12-17 00:00:00+00:00,0,0,49,1
2024-12-18 00:00:00+00:00,0,0,5,3
2024-12-19 00:00:00+00:00,1,1,1,1
2024-12-20 00:00:00+00:00,1,1,2,2
2024-12-22 00:00:00+00:00,1,1,0,0
2024-12-23 00:00:00+00:00,0,0,6,1
2024-12-25 00:00:00+00:00,1,1,0,0
2024-12-26 00:00:00+00:00,1,1,0,0
2024-12-27 00:00:00+00:00,19,3,7,1
2024-12-30 00:00:00+00:00,0,0,10,2
2024-12-31 00:00:00+00:00,0,0,12,1
2025-01-02 00:00:00+00:00,56,3,35,3
2025-01-04 00:00:00+00:00,0,0,1,1
2025-01-05 00:00:00+00:00,0,0,6,1
2025-01-06 00:00:00+00:00,22,4,35,3
2025-01-07 00:00:00+00:00,8,1,0,0
2025-01-08 00:00:00+00:00,27,2,15,4
2025-01-09 00:00:00+00:00,27,1,16,4
2025-01-10 00:00:00+00:00,8,1,0,0
2025-01-11 00:00:00+00:00,8,1,0,0
2025-01-12 00:00:00+00:00,9,2,0,0
2025-01-13 00:00:00+00:00,8,1,0,0
2025-01-14 00:00:00+00:00,8,1,12,3
2025-01-15 00:00:00+00:00,8,1,1,1
2025-01-16 00:00:00+00:00,21,3,16,3
2025-01-17 00:00:00+00:00,8,1,0,0
2025-01-18 00:00:00+00:00,11,4,0,0
2025-01-19 00:00:00+00:00,8,1,0,0
2025-01-20 00:00:00+00:00,8,1,0,0
2025-01-21 00:00:00+00:00,9,2,0,0
2025-01-22 00:00:00+00:00,8,1,1,1
2025-01-23 00:00:00+00:00,9,1,1,1
2025-01-24 00:00:00+00:00,8,1,2,2
2025-01-25 00:00:00+00:00,8,1,0,0
2025-01-26 00:00:00+00:00,8,1,0,0
2025-01-27 00:00:00+00:00,8,1,0,0
2025-01-28 00:00:00+00:00,8,1,2,2
2025-01-29 00:00:00+00:00,8,1,3,3
2025-01-30 00:00:00+00:00,9,1,6,4
2025-01-31 00:00:00+00:00,8,1,6,1
2025-02-01 00:00:00+00:00,8,1,0,0
