time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-20 00:00:00+00:00,2,2,0,0
2024-11-23 00:00:00+00:00,0,0,9,1
2024-11-25 00:00:00+00:00,1,1,0,0
2024-11-28 00:00:00+00:00,3,3,4,1
2024-12-01 00:00:00+00:00,0,0,1,1
2024-12-02 00:00:00+00:00,1,1,0,0
2024-12-05 00:00:00+00:00,0,0,4,1
2024-12-09 00:00:00+00:00,1,1,0,0
2024-12-10 00:00:00+00:00,0,0,3,2
2024-12-11 00:00:00+00:00,1,1,0,0
2024-12-16 00:00:00+00:00,1,1,0,0
2024-12-23 00:00:00+00:00,1,1,0,0
2024-12-26 00:00:00+00:00,0,0,2,1
2024-12-29 00:00:00+00:00,1,1,0,0
2024-12-30 00:00:00+00:00,1,1,0,0
2025-01-06 00:00:00+00:00,1,1,0,0
2025-01-07 00:00:00+00:00,0,0,1,1
2025-01-13 00:00:00+00:00,1,1,0,0
2025-01-20 00:00:00+00:00,1,1,0,0
2025-01-27 00:00:00+00:00,1,1,0,0
2025-01-30 00:00:00+00:00,0,0,2,1
2025-02-03 00:00:00+00:00,1,1,2,1
2025-02-10 00:00:00+00:00,1,1,0,0
2025-02-11 00:00:00+00:00,1,1,6,1
2025-02-12 00:00:00+00:00,0,0,3,2
2025-02-13 00:00:00+00:00,1,1,0,0
2025-02-15 00:00:00+00:00,2,2,0,0
2025-02-17 00:00:00+00:00,1,1,0,0
2025-02-21 00:00:00+00:00,0,0,5,1
2025-02-24 00:00:00+00:00,1,1,0,0
2025-03-02 00:00:00+00:00,1,1,0,0
2025-03-03 00:00:00+00:00,1,1,0,0
2025-03-06 00:00:00+00:00,2,2,0,0
2025-03-07 00:00:00+00:00,1,1,0,0
2025-03-10 00:00:00+00:00,3,3,0,0
2025-03-13 00:00:00+00:00,1,1,0,0
2025-03-15 00:00:00+00:00,1,1,0,0
2025-03-17 00:00:00+00:00,1,1,1,1
2025-03-20 00:00:00+00:00,1,1,0,0
2025-03-21 00:00:00+00:00,1,1,0,0
2025-03-24 00:00:00+00:00,1,1,0,0
2025-03-31 00:00:00+00:00,1,1,0,0
2025-04-04 00:00:00+00:00,1,1,0,0
2025-04-07 00:00:00+00:00,1,1,0,0
2025-04-14 00:00:00+00:00,1,1,0,0
2025-04-21 00:00:00+00:00,1,1,0,0
2025-04-23 00:00:00+00:00,1,1,0,0
2025-04-28 00:00:00+00:00,1,1,0,0
2025-05-03 00:00:00+00:00,1,1,0,0
2025-05-05 00:00:00+00:00,1,1,0,0
2025-05-08 00:00:00+00:00,1,1,0,0
2025-05-12 00:00:00+00:00,1,1,0,0
2025-05-19 00:00:00+00:00,1,1,0,0
2025-05-23 00:00:00+00:00,1,1,0,0
2025-05-26 00:00:00+00:00,1,1,0,0
2025-06-03 00:00:00+00:00,1,1,0,0
2025-06-08 00:00:00+00:00,1,1,0,0
2025-06-13 00:00:00+00:00,1,1,0,0
2025-06-28 00:00:00+00:00,1,1,0,0
2025-07-01 00:00:00+00:00,1,1,0,0
2025-07-03 00:00:00+00:00,1,1,0,0
2025-07-04 00:00:00+00:00,2,2,0,0
2025-07-05 00:00:00+00:00,1,1,0,0
2025-07-06 00:00:00+00:00,1,1,0,0
2025-07-08 00:00:00+00:00,0,0,1,1
2025-07-09 00:00:00+00:00,1,1,0,0
2025-07-10 00:00:00+00:00,1,1,0,0
2025-07-11 00:00:00+00:00,1,1,0,0
2025-07-15 00:00:00+00:00,2,2,0,0
2025-07-17 00:00:00+00:00,1,1,0,0
2025-07-30 00:00:00+00:00,1,1,0,0
2025-07-31 00:00:00+00:00,0,0,8,2
2025-08-16 00:00:00+00:00,1,1,0,0
2025-08-21 00:00:00+00:00,1,1,0,0
2025-08-24 00:00:00+00:00,1,1,0,0
2025-09-01 00:00:00+00:00,1,1,0,0
2025-09-02 00:00:00+00:00,3,2,0,0
