time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-02 00:00:00+00:00,0,0,1,1
2023-12-04 00:00:00+00:00,1,1,10,3
2023-12-05 00:00:00+00:00,0,0,20,2
2023-12-07 00:00:00+00:00,0,0,1,1
2023-12-09 00:00:00+00:00,1,1,1,1
2023-12-11 00:00:00+00:00,1,1,19,2
2023-12-12 00:00:00+00:00,0,0,15,2
2023-12-14 00:00:00+00:00,1,1,15,3
2023-12-15 00:00:00+00:00,0,0,6,2
2023-12-18 00:00:00+00:00,0,0,54,4
2023-12-19 00:00:00+00:00,0,0,15,2
2023-12-20 00:00:00+00:00,1,1,7,3
2023-12-21 00:00:00+00:00,0,0,12,1
2023-12-22 00:00:00+00:00,0,0,2,2
2023-12-25 00:00:00+00:00,0,0,47,2
2023-12-26 00:00:00+00:00,0,0,2,1
2023-12-27 00:00:00+00:00,1,1,0,0
2023-12-28 00:00:00+00:00,1,1,0,0
2023-12-29 00:00:00+00:00,0,0,3,1
2023-12-30 00:00:00+00:00,3,2,0,0
2023-12-31 00:00:00+00:00,0,0,27,1
2024-01-01 00:00:00+00:00,2,1,0,0
2024-01-02 00:00:00+00:00,0,0,6,2
2024-01-03 00:00:00+00:00,0,0,1,1
2024-01-04 00:00:00+00:00,1,1,0,0
2024-01-05 00:00:00+00:00,0,0,61,4
2024-01-08 00:00:00+00:00,0,0,3,1
2024-01-11 00:00:00+00:00,0,0,65,3
2024-01-12 00:00:00+00:00,1,1,58,2
2024-01-13 00:00:00+00:00,0,0,12,2
2024-01-14 00:00:00+00:00,1,1,0,0
2024-01-15 00:00:00+00:00,0,0,3,2
2024-01-17 00:00:00+00:00,1,1,98,4
2024-01-18 00:00:00+00:00,0,0,6,1
2024-01-19 00:00:00+00:00,0,0,5,2
2024-01-22 00:00:00+00:00,1,1,14,5
2024-01-23 00:00:00+00:00,0,0,18,4
2024-01-24 00:00:00+00:00,0,0,26,3
2024-01-25 00:00:00+00:00,0,0,45,13
2024-01-26 00:00:00+00:00,1,1,3,2
2024-01-27 00:00:00+00:00,1,1,0,0
2024-01-29 00:00:00+00:00,0,0,27,12
2024-01-30 00:00:00+00:00,0,0,16,4
2024-01-31 00:00:00+00:00,0,0,9,1
2024-02-01 00:00:00+00:00,0,0,49,5
2024-02-02 00:00:00+00:00,14,6,61,6
2024-02-03 00:00:00+00:00,12,4,0,0
2024-02-04 00:00:00+00:00,9,1,0,0
2024-02-05 00:00:00+00:00,22,5,21,2
2024-02-06 00:00:00+00:00,10,2,4,1
2024-02-07 00:00:00+00:00,9,1,14,1
2024-02-08 00:00:00+00:00,9,1,34,4
2024-02-09 00:00:00+00:00,9,1,0,0
2024-02-10 00:00:00+00:00,9,1,1,1
2024-02-11 00:00:00+00:00,9,1,0,0
2024-02-12 00:00:00+00:00,45,8,64,3
2024-02-13 00:00:00+00:00,9,1,65,3
2024-02-14 00:00:00+00:00,9,1,16,2
2024-02-15 00:00:00+00:00,9,1,63,3
2024-02-16 00:00:00+00:00,9,1,7,1
2024-02-17 00:00:00+00:00,9,1,15,1
2024-02-18 00:00:00+00:00,10,2,6,1
2024-02-19 00:00:00+00:00,11,3,25,2
2024-02-20 00:00:00+00:00,9,1,24,4
2024-02-21 00:00:00+00:00,9,1,62,7
2024-02-22 00:00:00+00:00,10,2,4,2
2024-02-23 00:00:00+00:00,10,2,2,1
2024-02-24 00:00:00+00:00,10,2,0,0
2024-02-25 00:00:00+00:00,9,1,0,0
2024-02-26 00:00:00+00:00,9,1,55,4
2024-02-27 00:00:00+00:00,9,1,13,3
2024-02-28 00:00:00+00:00,9,1,20,5
2024-02-29 00:00:00+00:00,9,1,8,1
2024-03-01 00:00:00+00:00,9,1,65,1
2024-03-02 00:00:00+00:00,10,2,0,0
2024-03-03 00:00:00+00:00,9,1,0,0
2024-03-04 00:00:00+00:00,9,1,22,2
2024-03-05 00:00:00+00:00,9,1,25,3
2024-03-06 00:00:00+00:00,9,1,1,1
2024-03-07 00:00:00+00:00,9,1,11,6
2024-03-08 00:00:00+00:00,12,3,5,2
2024-03-09 00:00:00+00:00,11,3,26,4
2024-03-10 00:00:00+00:00,9,1,8,6
2024-03-11 00:00:00+00:00,9,1,2,2
2024-03-12 00:00:00+00:00,9,1,4,3
2024-03-13 00:00:00+00:00,9,1,14,2
2024-03-14 00:00:00+00:00,9,1,2,2
2024-03-15 00:00:00+00:00,9,1,1,1
2024-03-16 00:00:00+00:00,9,1,0,0
2024-03-17 00:00:00+00:00,9,1,4,2
2024-03-18 00:00:00+00:00,9,1,20,1
2024-03-19 00:00:00+00:00,9,1,11,2
2024-03-20 00:00:00+00:00,9,1,1,1
2024-03-21 00:00:00+00:00,9,1,1,1
2024-03-22 00:00:00+00:00,9,1,0,0
2024-03-23 00:00:00+00:00,9,1,31,1
2024-03-24 00:00:00+00:00,9,1,0,0
2024-03-25 00:00:00+00:00,9,1,40,6
2024-03-26 00:00:00+00:00,9,1,95,3
2024-03-27 00:00:00+00:00,10,2,8,5
2024-03-28 00:00:00+00:00,10,2,25,1
2024-03-29 00:00:00+00:00,9,1,22,2
2024-03-30 00:00:00+00:00,9,1,1,1
2024-03-31 00:00:00+00:00,9,1,3,1
2024-04-01 00:00:00+00:00,9,1,5,2
2024-04-02 00:00:00+00:00,9,1,19,2
2024-04-03 00:00:00+00:00,9,1,2,1
2024-04-04 00:00:00+00:00,9,1,2,1
2024-04-05 00:00:00+00:00,9,1,10,3
2024-04-06 00:00:00+00:00,9,1,0,0
2024-04-07 00:00:00+00:00,9,1,0,0
2024-04-08 00:00:00+00:00,9,1,3,3
2024-04-09 00:00:00+00:00,9,1,0,0
2024-04-10 00:00:00+00:00,10,2,2,2
2024-04-11 00:00:00+00:00,9,1,12,6
2024-04-12 00:00:00+00:00,9,1,0,0
2024-04-13 00:00:00+00:00,9,1,11,1
2024-04-14 00:00:00+00:00,9,1,2,1
2024-04-15 00:00:00+00:00,9,1,38,4
2024-04-16 00:00:00+00:00,9,1,5,2
2024-04-17 00:00:00+00:00,9,1,1,1
2024-04-18 00:00:00+00:00,9,1,15,1
2024-04-19 00:00:00+00:00,9,1,14,2
2024-04-20 00:00:00+00:00,9,1,0,0
2024-04-21 00:00:00+00:00,9,1,0,0
2024-04-22 00:00:00+00:00,9,1,0,0
2024-04-23 00:00:00+00:00,9,1,1,1
2024-04-24 00:00:00+00:00,9,1,2,1
2024-04-25 00:00:00+00:00,9,1,0,0
2024-04-26 00:00:00+00:00,9,1,46,2
2024-04-27 00:00:00+00:00,9,1,0,0
2024-04-28 00:00:00+00:00,9,1,0,0
2024-04-29 00:00:00+00:00,9,1,12,1
2024-04-30 00:00:00+00:00,9,1,25,4
2024-05-01 00:00:00+00:00,9,1,0,0
2024-05-02 00:00:00+00:00,9,1,4,1
2024-05-03 00:00:00+00:00,10,2,3,2
2024-05-04 00:00:00+00:00,9,1,0,0
2024-05-05 00:00:00+00:00,9,1,0,0
2024-05-06 00:00:00+00:00,9,1,0,0
2024-05-07 00:00:00+00:00,9,1,0,0
2024-05-08 00:00:00+00:00,9,1,19,1
2024-05-09 00:00:00+00:00,10,2,8,2
2024-05-10 00:00:00+00:00,9,1,1,1
2024-05-11 00:00:00+00:00,9,1,0,0
2024-05-12 00:00:00+00:00,9,1,0,0
2024-05-13 00:00:00+00:00,9,1,0,0
2024-05-14 00:00:00+00:00,9,1,5,4
2024-05-15 00:00:00+00:00,9,1,16,2
2024-05-16 00:00:00+00:00,9,1,20,3
2024-05-17 00:00:00+00:00,9,1,5,4
2024-05-18 00:00:00+00:00,9,1,0,0
2024-05-19 00:00:00+00:00,9,1,0,0
2024-05-20 00:00:00+00:00,9,1,1,1
2024-05-21 00:00:00+00:00,9,1,1,1
2024-05-22 00:00:00+00:00,9,1,2,1
2024-05-23 00:00:00+00:00,9,1,18,2
2024-05-24 00:00:00+00:00,0,0,2,1
2024-05-25 00:00:00+00:00,0,0,1,1
2024-05-27 00:00:00+00:00,0,0,1,1
2024-05-28 00:00:00+00:00,0,0,1,1
2024-05-29 00:00:00+00:00,0,0,18,2
2024-05-30 00:00:00+00:00,0,0,74,1
2024-05-31 00:00:00+00:00,2,1,0,0
2024-06-06 00:00:00+00:00,0,0,11,2
2024-06-07 00:00:00+00:00,0,0,7,3
2024-06-09 00:00:00+00:00,2,1,19,1
2024-06-11 00:00:00+00:00,0,0,6,1
2024-06-12 00:00:00+00:00,0,0,3,2
2024-06-13 00:00:00+00:00,1,1,6,1
2024-06-14 00:00:00+00:00,0,0,5,1
2024-06-17 00:00:00+00:00,0,0,1,1
2024-06-18 00:00:00+00:00,1,1,0,0
