time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-28 00:00:00+00:00,15,1,10,1
2026-08-29 00:00:00+00:00,0,0,0,0
2026-08-30 00:00:00+00:00,2,1,0,0
2026-08-31 00:00:00+00:00,0,0,6,1
2026-09-01 00:00:00+00:00,0,0,0,0
2026-09-02 00:00:00+00:00,40,5,18,4
2026-09-03 00:00:00+00:00,1,1,0,0
2026-09-04 00:00:00+00:00,5,5,0,0
2026-09-05 00:00:00+00:00,2,1,0,0
2026-09-06 00:00:00+00:00,0,0,1,1
2026-09-07 00:00:00+00:00,72,21,3,1
2026-09-08 00:00:00+00:00,1,1,4,1
2026-09-09 00:00:00+00:00,7,5,0,0
2026-09-10 00:00:00+00:00,1,1,0,0
