time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-15 00:00:00+00:00,1,1,0,0
2024-11-21 00:00:00+00:00,0,0,1,1
2024-11-22 00:00:00+00:00,1,1,0,0
2024-11-28 00:00:00+00:00,2,2,4,1
2024-11-29 00:00:00+00:00,1,1,0,0
2024-12-05 00:00:00+00:00,0,0,15,3
2024-12-06 00:00:00+00:00,1,1,0,0
2024-12-10 00:00:00+00:00,1,1,0,0
2024-12-13 00:00:00+00:00,1,1,0,0
2024-12-20 00:00:00+00:00,1,1,0,0
2024-12-26 00:00:00+00:00,0,0,25,1
2024-12-27 00:00:00+00:00,1,1,0,0
2025-01-03 00:00:00+00:00,1,1,0,0
2025-01-10 00:00:00+00:00,1,1,0,0
2025-01-13 00:00:00+00:00,1,1,0,0
2025-01-14 00:00:00+00:00,0,0,1,1
2025-01-17 00:00:00+00:00,1,1,0,0
2025-01-24 00:00:00+00:00,1,1,0,0
2025-01-30 00:00:00+00:00,0,0,2,1
2025-01-31 00:00:00+00:00,1,1,0,0
2025-02-07 00:00:00+00:00,1,1,0,0
