time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-15 00:00:00+00:00,1.0,1.0,1.0,1.0
2025-12-16 00:00:00+00:00,1.0,1.0,1.0,1.0
2025-12-17 00:00:00+00:00,,,28.0,4.0
2025-12-18 00:00:00+00:00,1.0,1.0,,
2025-12-19 00:00:00+00:00,6.0,6.0,11.0,3.0
2025-12-20 00:00:00+00:00,,,30.0,1.0
2025-12-21 00:00:00+00:00,,,1.0,1.0
2025-12-22 00:00:00+00:00,,,3.0,1.0
2025-12-23 00:00:00+00:00,,,18.0,1.0
2025-12-24 00:00:00+00:00,,,1.0,1.0
2025-12-25 00:00:00+00:00,,,1.0,1.0
2025-12-26 00:00:00+00:00,1.0,1.0,,
