url_path,views_total,views_unique
/cicsdev/cics-java-liberty-springboot-jdbc,20,6
/cicsdev/cics-java-liberty-springboot-jdbc/tree/main,12,1
/cicsdev/cics-java-liberty-springboot-jdbc/pulls,11,6
/cicsdev/cics-java-liberty-springboot-jdbc/pull/22,7,2
/cicsdev/cics-java-liberty-springboot-jdbc/tree/main/.github/workflows,5,2
/cicsdev/cics-java-liberty-springboot-jdbc/blob/main/cics-java-liberty-springboot-jdbc-app/build.gradle,4,1
/cicsdev/cics-java-liberty-springboot-jdbc/tree/main/cics-java-liberty-springboot-jdbc-app,4,1
/cicsdev/cics-java-liberty-springboot-jdbc/issues,3,3
/cicsdev/cics-java-liberty-springboot-jdbc/pull/12,3,2
/cicsdev/cics-java-liberty-springboot-jdbc/pull/22/changes,3,2
