time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-18 00:00:00+00:00,1,1,2,2
2024-11-19 00:00:00+00:00,4,1,2,1
2024-11-23 00:00:00+00:00,1,1,7,2
2024-11-25 00:00:00+00:00,4,1,2,2
2024-11-28 00:00:00+00:00,5,4,4,1
2024-11-30 00:00:00+00:00,1,1,0,0
2024-12-02 00:00:00+00:00,0,0,1,1
2024-12-04 00:00:00+00:00,2,1,1,1
2024-12-05 00:00:00+00:00,2,1,11,1
2024-12-07 00:00:00+00:00,1,1,0,0
2024-12-10 00:00:00+00:00,0,0,1,1
2024-12-13 00:00:00+00:00,0,0,9,2
2024-12-14 00:00:00+00:00,2,2,0,0
2024-12-15 00:00:00+00:00,0,0,2,1
2024-12-17 00:00:00+00:00,2,1,1,1
