time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-23 00:00:00+00:00,0,0,0,0
2026-06-24 00:00:00+00:00,53,4,4,1
2026-06-25 00:00:00+00:00,29,15,15,4
2026-06-26 00:00:00+00:00,132,36,47,4
2026-06-27 00:00:00+00:00,15,3,0,0
2026-06-28 00:00:00+00:00,30,7,0,0
2026-06-29 00:00:00+00:00,238,38,13,2
2026-06-30 00:00:00+00:00,22,6,8,2
2026-07-01 00:00:00+00:00,16,4,1,1
2026-07-02 00:00:00+00:00,161,27,11,3
2026-07-03 00:00:00+00:00,95,26,10,1
2026-07-04 00:00:00+00:00,8,8,0,0
2026-07-05 00:00:00+00:00,0,0,0,0
2026-07-06 00:00:00+00:00,1,1,0,0
