time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-20 00:00:00+00:00,1,1,0,0
2024-11-26 00:00:00+00:00,1,1,0,0
2024-11-28 00:00:00+00:00,2,2,4,1
2024-11-30 00:00:00+00:00,2,1,0,0
2024-12-03 00:00:00+00:00,1,1,0,0
2024-12-05 00:00:00+00:00,0,0,1,1
2024-12-06 00:00:00+00:00,0,0,3,1
2024-12-10 00:00:00+00:00,2,2,0,0
2024-12-14 00:00:00+00:00,0,0,1,1
2024-12-16 00:00:00+00:00,0,0,2,1
2024-12-17 00:00:00+00:00,1,1,10,1
2024-12-18 00:00:00+00:00,0,0,37,6
2024-12-20 00:00:00+00:00,0,0,2,1
2024-12-24 00:00:00+00:00,1,1,2,2
2024-12-25 00:00:00+00:00,0,0,7,1
2024-12-31 00:00:00+00:00,1,1,0,0
2025-01-02 00:00:00+00:00,0,0,6,1
2025-01-04 00:00:00+00:00,1,1,0,0
2025-01-07 00:00:00+00:00,1,1,0,0
2025-01-11 00:00:00+00:00,1,1,0,0
2025-01-14 00:00:00+00:00,1,1,0,0
2025-01-17 00:00:00+00:00,0,0,16,1
2025-01-21 00:00:00+00:00,1,1,0,0
2025-01-28 00:00:00+00:00,1,1,0,0
2025-01-30 00:00:00+00:00,0,0,3,1
2025-02-01 00:00:00+00:00,2,2,0,0
2025-02-02 00:00:00+00:00,0,0,4,1
2025-02-03 00:00:00+00:00,2,2,3,2
2025-02-04 00:00:00+00:00,1,1,0,0
2025-02-05 00:00:00+00:00,0,0,1,1
2025-02-07 00:00:00+00:00,1,1,0,0
2025-02-08 00:00:00+00:00,0,0,10,1
