time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-15 00:00:00+00:00,0,0,2,2
2024-11-17 00:00:00+00:00,0,0,1,1
2024-11-20 00:00:00+00:00,2,2,0,0
2024-11-26 00:00:00+00:00,1,1,0,0
2024-11-28 00:00:00+00:00,2,2,5,1
2024-12-03 00:00:00+00:00,1,1,0,0
2024-12-05 00:00:00+00:00,0,0,9,2
2024-12-10 00:00:00+00:00,1,1,0,0
2024-12-17 00:00:00+00:00,1,1,0,0
2024-12-20 00:00:00+00:00,0,0,3,1
2024-12-24 00:00:00+00:00,1,1,0,0
2024-12-31 00:00:00+00:00,1,1,0,0
2025-01-05 00:00:00+00:00,0,0,1,1
2025-01-07 00:00:00+00:00,1,1,0,0
2025-01-08 00:00:00+00:00,0,0,12,1
2025-01-12 00:00:00+00:00,1,1,0,0
2025-01-13 00:00:00+00:00,0,0,4,1
2025-01-14 00:00:00+00:00,1,1,0,0
2025-01-21 00:00:00+00:00,1,1,0,0
2025-01-26 00:00:00+00:00,0,0,1,1
2025-01-28 00:00:00+00:00,1,1,0,0
