url_path,views_total,views_unique
/cicsdev/cics-java-liberty-springboot-kafka/pull/16,35,2
/cicsdev/cics-java-liberty-springboot-kafka,19,4
/cicsdev/cics-java-liberty-springboot-kafka/blob/main/README.md,11,1
/cicsdev/cics-java-liberty-springboot-kafka/pull/16/changes,10,2
/cicsdev/cics-java-liberty-springboot-kafka/pull/16/commits,9,1
/cicsdev/cics-java-liberty-springboot-kafka/pull/21,3,2
/cicsdev/cics-java-liberty-springboot-kafka/branches,3,1
/cicsdev/cics-java-liberty-springboot-kafka/pull/16/changes/a7bde29688192a2d83b2237b2df71c44722843ae,2,2
/cicsdev/cics-java-liberty-springboot-kafka/pull/18,2,2
/cicsdev/cics-java-liberty-springboot-kafka/tree/IDH-kafka-standards-fixes,2,2
