time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-16 00:00:00+00:00,13,1,0,0
2026-07-17 00:00:00+00:00,13,1,0,0
2026-07-18 00:00:00+00:00,13,1,0,0
2026-07-19 00:00:00+00:00,13,1,0,0
2026-07-20 00:00:00+00:00,13,1,0,0
2026-07-21 00:00:00+00:00,13,1,0,0
2026-07-22 00:00:00+00:00,14,2,0,0
2026-07-23 00:00:00+00:00,65,1,32,2
2026-07-24 00:00:00+00:00,105,2,55,2
2026-07-25 00:00:00+00:00,0,0,0,0
2026-07-26 00:00:00+00:00,0,0,0,0
2026-07-27 00:00:00+00:00,39,1,4,2
2026-07-28 00:00:00+00:00,26,1,8,1
2026-07-29 00:00:00+00:00,32,6,34,3
2026-07-30 00:00:00+00:00,2,2,0,0
2026-07-31 00:00:00+00:00,1,1,0,0
2026-08-01 00:00:00+00:00,0,0,0,0
2026-08-02 00:00:00+00:00,0,0,0,0
2026-08-03 00:00:00+00:00,1,1,1,1
2026-08-04 00:00:00+00:00,1,1,0,0
2026-08-05 00:00:00+00:00,1,1,0,0
2026-08-06 00:00:00+00:00,0,0,0,0
2026-08-07 00:00:00+00:00,0,0,0,0
2026-08-08 00:00:00+00:00,0,0,0,0
2026-08-09 00:00:00+00:00,1,1,0,0
2026-08-10 00:00:00+00:00,0,0,0,0
2026-08-11 00:00:00+00:00,0,0,0,0
2026-08-12 00:00:00+00:00,0,0,0,0
2026-08-13 00:00:00+00:00,0,0,0,0
2026-08-14 00:00:00+00:00,0,0,0,0
2026-08-15 00:00:00+00:00,0,0,0,0
2026-08-16 00:00:00+00:00,0,0,0,0
2026-08-17 00:00:00+00:00,1,1,1,1
2026-08-18 00:00:00+00:00,1,1,2,2
2026-08-19 00:00:00+00:00,0,0,0,0
2026-08-20 00:00:00+00:00,0,0,0,0
2026-08-21 00:00:00+00:00,0,0,0,0
2026-08-22 00:00:00+00:00,0,0,0,0
2026-08-23 00:00:00+00:00,0,0,0,0
2026-08-24 00:00:00+00:00,0,0,0,0
2026-08-25 00:00:00+00:00,1,1,1,1
2026-08-26 00:00:00+00:00,0,0,0,0
2026-08-27 00:00:00+00:00,0,0,0,0
2026-08-28 00:00:00+00:00,0,0,1,1
2026-08-29 00:00:00+00:00,0,0,0,0
2026-08-30 00:00:00+00:00,0,0,0,0
2026-08-31 00:00:00+00:00,0,0,2,1
2026-09-01 00:00:00+00:00,0,0,1,1
